,index,DateTime,SensorAddress,SoilMoist_15cm,SoilMoist_30cm,SoilMoist_45cm,SoilTemp1,SoilTemp2,SoilTemp3,SoilTemp4,SoilTemp5,SoilTemp6,SensorName
0,952,2022-12-01 01:00:00,0,20.7,13.6,15.4,0.3,1.7,2.5,2.8,3.5,3.7,S205
1,953,2022-12-01 02:00:00,0,20.6,13.5,15.4,0.3,1.7,2.5,2.8,3.5,3.7,S205
2,954,2022-12-01 03:00:00,0,20.6,13.5,15.4,0.3,1.7,2.5,2.8,3.5,3.7,S205
3,955,2022-12-01 04:00:00,0,20.5,13.5,15.4,0.2,1.7,2.5,2.8,3.5,3.7,S205
4,956,2022-12-01 05:00:00,0,20.5,13.5,15.4,0.2,1.6,2.5,2.8,3.5,3.7,S205
5,957,2022-12-01 06:00:00,0,20.4,13.5,15.4,0.2,1.6,2.5,2.8,3.5,3.7,S205
6,958,2022-12-01 07:00:00,0,20.4,13.5,15.3,0.1,1.6,2.5,2.8,3.5,3.7,S205
7,959,2022-12-01 08:00:00,0,20.3,13.5,15.3,0.2,1.7,2.5,2.7,3.5,3.7,S205
8,960,2022-12-01 09:00:00,0,20.3,13.5,15.3,0.2,1.6,2.3,2.7,3.5,3.6,S205
9,961,2022-12-01 10:00:00,0,20.2,13.5,15.3,0.1,1.6,2.3,2.8,3.5,3.6,S205
10,962,2022-12-01 11:00:00,0,20.2,13.5,15.3,0.1,1.6,2.5,2.7,3.3,3.6,S205
11,963,2022-12-01 12:00:00,0,20.2,13.5,15.3,0.2,1.6,2.3,2.7,3.3,3.6,S205
12,964,2022-12-01 13:00:00,0,20.2,13.5,15.3,0.1,1.5,2.3,2.7,3.3,3.6,S205
13,965,2022-12-01 14:00:00,0,20.2,13.5,15.3,0.1,1.6,2.3,2.7,3.3,3.6,S205
14,966,2022-12-01 15:00:00,0,20.2,13.5,15.3,0.2,1.5,2.3,2.7,3.3,3.6,S205
15,967,2022-12-01 16:00:00,0,20.2,13.5,15.3,0.1,1.5,2.3,2.7,3.3,3.6,S205
16,968,2022-12-01 17:00:00,0,20.2,13.5,15.3,0.2,1.6,2.3,2.7,3.3,3.6,S205
17,969,2022-12-01 18:00:00,0,20.2,13.5,15.3,0.1,1.5,2.3,2.7,3.3,3.6,S205
18,970,2022-12-01 19:00:00,0,20.1,13.4,15.3,0.2,1.5,2.3,2.7,3.3,3.6,S205
