,time,northing,easting,depths,zones,stakes,aspect,slope,watershed
0,2022-12-02,464819.0,5262240.0,5.0,Upland,S200,193.3626,6.632267,S2
1,2022-12-02,464819.0,5262292.0,10.0,Upland,S201,115.0966,3.120716,S2
2,2022-12-02,464819.0,5262344.0,0.0,Upland,S202,352.4059,2.16637,S2
3,2022-12-02,464819.0,5262396.0,8.5,Upland,S203,135.0012,7.45287,S2
4,2022-12-02,464819.0,5262448.0,0.0,Upland,S204,254.4066,9.503919,S2
5,2022-12-02,464819.0,5262500.0,3.0,Upland,S205,355.2919,3.051387,S2
6,2022-12-02,464819.0,5262552.0,,,,,,S2
7,2022-12-02,464744.8,5262240.0,,,,,,S2
8,2022-12-02,464744.8,5262292.0,11.0,Lagg,S211,332.3497,0.84887,S2
9,2022-12-02,464744.8,5262344.0,5.0,Lagg,S212,291.1621,2.37949,S2
10,2022-12-02,464744.8,5262396.0,19.0,Bog,S213,120.0787,0.78623,S2
11,2022-12-02,464744.8,5262448.0,13.0,Upland,S214,9.296235,3.98498,S2
12,2022-12-02,464744.8,5262500.0,11.0,Upland,S215,201.5048,1.26977,S2
13,2022-12-02,464744.8,5262552.0,,,,,,S2
14,2022-12-02,464670.6,5262240.0,14.5,Upland,S220,252.4753,2.85169,S2
15,2022-12-02,464670.6,5262292.0,5.0,Bog,S221,200.2377,0.72501,S2
16,2022-12-02,464670.6,5262344.0,14.0,Bog,S222,279.4718,0.43563,S2
17,2022-12-02,464670.6,5262396.0,14.5,Bog,S223,174.7998,0.39548,S2
18,2022-12-02,464670.6,5262448.0,5.0,Lagg,S224,187.7631,3.17706,S2
19,2022-12-02,464670.6,5262500.0,8.0,Lagg,S225,58.388,1.09319,S2
20,2022-12-02,464670.6,5262552.0,8.5,Upland,S226,275.0663,2.38778,S2
21,2022-12-02,464596.4,5262240.0,,,,,,S2
22,2022-12-02,464596.4,5262292.0,,,,,,S2
23,2022-12-02,464596.4,5262344.0,9.0,Lagg,S232,25.94226,14.422,S2
24,2022-12-02,464596.4,5262396.0,10.0,Bog,S233,113.9634,0.70519,S2
25,2022-12-02,464596.4,5262448.0,9.5,Bog,S234,180.0,0.28632,S2
26,2022-12-02,464596.4,5262500.0,14.0,Lagg,S235,105.2713,0.40827,S2
27,2022-12-02,464596.4,5262552.0,11.0,Upland,S236,4.635716,1.32895,S2
28,2022-12-02,464522.2,5262240.0,,,,,,S2
29,2022-12-02,464522.2,5262292.0,,,,,,S2
30,2022-12-02,464522.2,5262344.0,,,,,,S2
31,2022-12-02,464522.2,5262396.0,5.5,Upland,S243,50.67678,8.63669,S2
32,2022-12-02,464522.2,5262448.0,8.0,Upland,S244,355.6789,8.02736,S2
33,2022-12-02,464522.2,5262500.0,9.0,Upland,S245,21.695,3.57951,S2
34,2022-12-02,464522.2,5262552.0,4.0,Upland,S246,308.4806,5.336709,S2
35,2022-12-02,464448.0,5262240.0,,,,,,S2
36,2022-12-02,464448.0,5262292.0,,,,,,S2
37,2022-12-02,464448.0,5262344.0,,,,,,S2
38,2022-12-02,464448.0,5262396.0,,,,,,S2
39,2022-12-02,464448.0,5262448.0,12.0,Upland,S254,225.0,0.96229,S2
40,2022-12-02,464448.0,5262500.0,5.0,Upland,S255,0.008743,1.43197,S2
41,2022-12-02,464448.0,5262552.0,,,,,,S2
42,2022-12-30,464819.0,5262240.0,19.25,Upland,S200,193.3626,6.632267,S2
43,2022-12-30,464819.0,5262292.0,24.0,Upland,S201,115.0966,3.120716,S2
44,2022-12-30,464819.0,5262344.0,24.0,Upland,S202,352.4059,2.16637,S2
45,2022-12-30,464819.0,5262396.0,32.0,Upland,S203,135.0012,7.45287,S2
46,2022-12-30,464819.0,5262448.0,23.5,Upland,S204,254.4066,9.503919,S2
47,2022-12-30,464819.0,5262500.0,25.0,Upland,S205,355.2919,3.051387,S2
48,2022-12-30,464819.0,5262552.0,,,,,,S2
49,2022-12-30,464744.8,5262240.0,,,,,,S2
50,2022-12-30,464744.8,5262292.0,26.0,Lagg,S211,332.3497,0.84887,S2
51,2022-12-30,464744.8,5262344.0,22.5,Lagg,S212,291.1621,2.37949,S2
52,2022-12-30,464744.8,5262396.0,28.0,Bog,S213,120.0787,0.78623,S2
53,2022-12-30,464744.8,5262448.0,32.0,Upland,S214,9.296235,3.98498,S2
54,2022-12-30,464744.8,5262500.0,44.0,Upland,S215,201.5048,1.26977,S2
55,2022-12-30,464744.8,5262552.0,,,,,,S2
56,2022-12-30,464670.6,5262240.0,47.0,Upland,S220,252.4753,2.85169,S2
57,2022-12-30,464670.6,5262292.0,16.0,Bog,S221,200.2377,0.72501,S2
58,2022-12-30,464670.6,5262344.0,29.0,Bog,S222,279.4718,0.43563,S2
59,2022-12-30,464670.6,5262396.0,34.0,Bog,S223,174.7998,0.39548,S2
60,2022-12-30,464670.6,5262448.0,31.0,Lagg,S224,187.7631,3.17706,S2
61,2022-12-30,464670.6,5262500.0,34.0,Lagg,S225,58.388,1.09319,S2
62,2022-12-30,464670.6,5262552.0,35.0,Upland,S226,275.0663,2.38778,S2
63,2022-12-30,464596.4,5262240.0,,,,,,S2
64,2022-12-30,464596.4,5262292.0,,,,,,S2
65,2022-12-30,464596.4,5262344.0,26.0,Lagg,S232,25.94226,14.422,S2
66,2022-12-30,464596.4,5262396.0,32.0,Bog,S233,113.9634,0.70519,S2
67,2022-12-30,464596.4,5262448.0,46.0,Bog,S234,180.0,0.28632,S2
68,2022-12-30,464596.4,5262500.0,37.0,Lagg,S235,105.2713,0.40827,S2
69,2022-12-30,464596.4,5262552.0,29.0,Upland,S236,4.635716,1.32895,S2
70,2022-12-30,464522.2,5262240.0,,,,,,S2
71,2022-12-30,464522.2,5262292.0,,,,,,S2
72,2022-12-30,464522.2,5262344.0,,,,,,S2
73,2022-12-30,464522.2,5262396.0,36.5,Upland,S243,50.67678,8.63669,S2
74,2022-12-30,464522.2,5262448.0,27.5,Upland,S244,355.6789,8.02736,S2
75,2022-12-30,464522.2,5262500.0,33.0,Upland,S245,21.695,3.57951,S2
76,2022-12-30,464522.2,5262552.0,35.0,Upland,S246,308.4806,5.336709,S2
77,2022-12-30,464448.0,5262240.0,,,,,,S2
78,2022-12-30,464448.0,5262292.0,,,,,,S2
79,2022-12-30,464448.0,5262344.0,,,,,,S2
80,2022-12-30,464448.0,5262396.0,,,,,,S2
81,2022-12-30,464448.0,5262448.0,24.5,Upland,S254,225.0,0.96229,S2
82,2022-12-30,464448.0,5262500.0,24.0,Upland,S255,0.008743,1.43197,S2
83,2022-12-30,464448.0,5262552.0,,,,,,S2
84,2023-01-05,464819.0,5262240.0,33.5,Upland,S200,193.3626,6.632267,S2
85,2023-01-05,464819.0,5262292.0,31.0,Upland,S201,115.0966,3.120716,S2
86,2023-01-05,464819.0,5262344.0,25.0,Upland,S202,352.4059,2.16637,S2
87,2023-01-05,464819.0,5262396.0,45.0,Upland,S203,135.0012,7.45287,S2
88,2023-01-05,464819.0,5262448.0,21.0,Upland,S204,254.4066,9.503919,S2
89,2023-01-05,464819.0,5262500.0,34.0,Upland,S205,355.2919,3.051387,S2
90,2023-01-05,464819.0,5262552.0,,,,,,S2
91,2023-01-05,464744.8,5262240.0,,,,,,S2
92,2023-01-05,464744.8,5262292.0,34.0,Lagg,S211,332.3497,0.84887,S2
93,2023-01-05,464744.8,5262344.0,27.5,Lagg,S212,291.1621,2.37949,S2
94,2023-01-05,464744.8,5262396.0,37.0,Bog,S213,120.0787,0.78623,S2
95,2023-01-05,464744.8,5262448.0,34.5,Upland,S214,9.296235,3.98498,S2
96,2023-01-05,464744.8,5262500.0,41.5,Upland,S215,201.5048,1.26977,S2
97,2023-01-05,464744.8,5262552.0,,,,,,S2
98,2023-01-05,464670.6,5262240.0,33.5,Upland,S220,252.4753,2.85169,S2
99,2023-01-05,464670.6,5262292.0,27.0,Bog,S221,200.2377,0.72501,S2
100,2023-01-05,464670.6,5262344.0,41.0,Bog,S222,279.4718,0.43563,S2
101,2023-01-05,464670.6,5262396.0,42.0,Bog,S223,174.7998,0.39548,S2
102,2023-01-05,464670.6,5262448.0,36.0,Lagg,S224,187.7631,3.17706,S2
103,2023-01-05,464670.6,5262500.0,40.5,Lagg,S225,58.388,1.09319,S2
104,2023-01-05,464670.6,5262552.0,33.5,Upland,S226,275.0663,2.38778,S2
105,2023-01-05,464596.4,5262240.0,,,,,,S2
106,2023-01-05,464596.4,5262292.0,,,,,,S2
107,2023-01-05,464596.4,5262344.0,36.5,Lagg,S232,25.94226,14.422,S2
108,2023-01-05,464596.4,5262396.0,36.0,Bog,S233,113.9634,0.70519,S2
109,2023-01-05,464596.4,5262448.0,38.0,Bog,S234,180.0,0.28632,S2
110,2023-01-05,464596.4,5262500.0,46.5,Lagg,S235,105.2713,0.40827,S2
111,2023-01-05,464596.4,5262552.0,37.0,Upland,S236,4.635716,1.32895,S2
112,2023-01-05,464522.2,5262240.0,,,,,,S2
113,2023-01-05,464522.2,5262292.0,,,,,,S2
114,2023-01-05,464522.2,5262344.0,,,,,,S2
115,2023-01-05,464522.2,5262396.0,35.0,Upland,S243,50.67678,8.63669,S2
116,2023-01-05,464522.2,5262448.0,35.5,Upland,S244,355.6789,8.02736,S2
117,2023-01-05,464522.2,5262500.0,37.0,Upland,S245,21.695,3.57951,S2
118,2023-01-05,464522.2,5262552.0,35.0,Upland,S246,308.4806,5.336709,S2
119,2023-01-05,464448.0,5262240.0,,,,,,S2
120,2023-01-05,464448.0,5262292.0,,,,,,S2
121,2023-01-05,464448.0,5262344.0,,,,,,S2
122,2023-01-05,464448.0,5262396.0,,,,,,S2
123,2023-01-05,464448.0,5262448.0,33.0,Upland,S254,225.0,0.96229,S2
124,2023-01-05,464448.0,5262500.0,32.5,Upland,S255,0.008743,1.43197,S2
125,2023-01-05,464448.0,5262552.0,,,,,,S2
126,2023-01-13,464819.0,5262240.0,37.0,Upland,S200,193.3626,6.632267,S2
127,2023-01-13,464819.0,5262292.0,32.0,Upland,S201,115.0966,3.120716,S2
128,2023-01-13,464819.0,5262344.0,22.0,Upland,S202,352.4059,2.16637,S2
129,2023-01-13,464819.0,5262396.0,38.0,Upland,S203,135.0012,7.45287,S2
130,2023-01-13,464819.0,5262448.0,7.0,Upland,S204,254.4066,9.503919,S2
131,2023-01-13,464819.0,5262500.0,26.0,Upland,S205,355.2919,3.051387,S2
132,2023-01-13,464819.0,5262552.0,,,,,,S2
133,2023-01-13,464744.8,5262240.0,,,,,,S2
134,2023-01-13,464744.8,5262292.0,38.0,Lagg,S211,332.3497,0.84887,S2
135,2023-01-13,464744.8,5262344.0,29.0,Lagg,S212,291.1621,2.37949,S2
136,2023-01-13,464744.8,5262396.0,41.0,Bog,S213,120.0787,0.78623,S2
137,2023-01-13,464744.8,5262448.0,31.0,Upland,S214,9.296235,3.98498,S2
138,2023-01-13,464744.8,5262500.0,35.0,Upland,S215,201.5048,1.26977,S2
139,2023-01-13,464744.8,5262552.0,,,,,,S2
140,2023-01-13,464670.6,5262240.0,29.0,Upland,S220,252.4753,2.85169,S2
141,2023-01-13,464670.6,5262292.0,26.0,Bog,S221,200.2377,0.72501,S2
142,2023-01-13,464670.6,5262344.0,38.5,Bog,S222,279.4718,0.43563,S2
143,2023-01-13,464670.6,5262396.0,33.0,Bog,S223,174.7998,0.39548,S2
144,2023-01-13,464670.6,5262448.0,33.0,Lagg,S224,187.7631,3.17706,S2
145,2023-01-13,464670.6,5262500.0,45.0,Lagg,S225,58.388,1.09319,S2
146,2023-01-13,464670.6,5262552.0,34.0,Upland,S226,275.0663,2.38778,S2
147,2023-01-13,464596.4,5262240.0,,,,,,S2
148,2023-01-13,464596.4,5262292.0,,,,,,S2
149,2023-01-13,464596.4,5262344.0,32.0,Lagg,S232,25.94226,14.422,S2
150,2023-01-13,464596.4,5262396.0,28.0,Bog,S233,113.9634,0.70519,S2
151,2023-01-13,464596.4,5262448.0,35.0,Bog,S234,180.0,0.28632,S2
152,2023-01-13,464596.4,5262500.0,33.0,Lagg,S235,105.2713,0.40827,S2
153,2023-01-13,464596.4,5262552.0,33.0,Upland,S236,4.635716,1.32895,S2
154,2023-01-13,464522.2,5262240.0,,,,,,S2
155,2023-01-13,464522.2,5262292.0,,,,,,S2
156,2023-01-13,464522.2,5262344.0,,,,,,S2
157,2023-01-13,464522.2,5262396.0,34.0,Upland,S243,50.67678,8.63669,S2
158,2023-01-13,464522.2,5262448.0,38.0,Upland,S244,355.6789,8.02736,S2
159,2023-01-13,464522.2,5262500.0,36.0,Upland,S245,21.695,3.57951,S2
160,2023-01-13,464522.2,5262552.0,37.0,Upland,S246,308.4806,5.336709,S2
161,2023-01-13,464448.0,5262240.0,,,,,,S2
162,2023-01-13,464448.0,5262292.0,,,,,,S2
163,2023-01-13,464448.0,5262344.0,,,,,,S2
164,2023-01-13,464448.0,5262396.0,,,,,,S2
165,2023-01-13,464448.0,5262448.0,32.0,Upland,S254,225.0,0.96229,S2
166,2023-01-13,464448.0,5262500.0,30.0,Upland,S255,0.008743,1.43197,S2
167,2023-01-13,464448.0,5262552.0,,,,,,S2
168,2023-01-20,464819.0,5262240.0,40.0,Upland,S200,193.3626,6.632267,S2
169,2023-01-20,464819.0,5262292.0,40.0,Upland,S201,115.0966,3.120716,S2
170,2023-01-20,464819.0,5262344.0,28.5,Upland,S202,352.4059,2.16637,S2
171,2023-01-20,464819.0,5262396.0,29.0,Upland,S203,135.0012,7.45287,S2
172,2023-01-20,464819.0,5262448.0,25.0,Upland,S204,254.4066,9.503919,S2
173,2023-01-20,464819.0,5262500.0,33.5,Upland,S205,355.2919,3.051387,S2
174,2023-01-20,464819.0,5262552.0,,,,,,S2
175,2023-01-20,464744.8,5262240.0,,,,,,S2
176,2023-01-20,464744.8,5262292.0,43.5,Lagg,S211,332.3497,0.84887,S2
177,2023-01-20,464744.8,5262344.0,32.0,Lagg,S212,291.1621,2.37949,S2
178,2023-01-20,464744.8,5262396.0,47.0,Bog,S213,120.0787,0.78623,S2
179,2023-01-20,464744.8,5262448.0,36.0,Upland,S214,9.296235,3.98498,S2
180,2023-01-20,464744.8,5262500.0,43.5,Upland,S215,201.5048,1.26977,S2
