index,northing,easting,time,stakes,zones,aspect,slope,depths,watershed
48,464644.0,5262449.0,2022-11-25,S655,Upland,259.7763,6.629145,0.0,S6
49,464644.0,5262449.0,2022-12-02,S655,Upland,259.7763,6.629145,5.5,S6
50,464644.0,5262449.0,2022-12-30,S655,Upland,259.7763,6.629145,31.0,S6
51,464644.0,5262449.0,2023-01-05,S655,Upland,259.7763,6.629145,29.0,S6
52,464644.0,5262449.0,2023-01-13,S655,Upland,259.7763,6.629145,32.0,S6
53,464644.0,5262449.0,2023-01-20,S655,Upland,259.7763,6.629145,32.5,S6
54,464644.0,5262449.0,2023-02-01,S655,Upland,259.7763,6.629145,28.0,S6
55,464644.0,5262449.0,2023-02-10,S655,Upland,259.7763,6.629145,34.0,S6
56,464644.0,5262449.0,2023-02-17,S655,Upland,259.7763,6.629145,27.0,S6
57,464644.0,5262449.0,2023-02-24,S655,Upland,259.7763,6.629145,35.0,S6
58,464644.0,5262449.0,2023-03-09,S655,Upland,259.7763,6.629145,41.0,S6
59,464644.0,5262449.0,2023-03-17,S655,Upland,259.7763,6.629145,47.0,S6
60,464644.0,5262449.0,2023-03-24,S655,Upland,259.7763,6.629145,60.0,S6
61,464644.0,5262449.0,2023-03-31,S655,Upland,259.7763,6.629145,47.0,S6
62,464644.0,5262449.0,2023-04-14,S655,Upland,259.7763,6.629145,21.0,S6
63,464644.0,5262449.0,2023-04-28,S655,Upland,259.7763,6.629145,8.0,S6
64,464644.0,5262449.0,2023-05-05,S655,Upland,259.7763,6.629145,0.0,S6
65,464644.0,5262449.0,2023-12-01,S655,Upland,259.7763,6.629145,0.0,S6
66,464644.0,5262449.0,2024-01-22,S655,Upland,259.7763,6.629145,9.0,S6
67,464644.0,5262449.0,2024-01-31,S655,Upland,259.7763,6.629145,6.0,S6
68,464644.0,5262449.0,2024-02-01,S655,Upland,259.7763,6.629145,0.5,S6
69,464644.0,5262449.0,2024-02-09,S655,Upland,259.7763,6.629145,0.5,S6
70,464644.0,5262449.0,2024-02-15,S655,Upland,259.7763,6.629145,1.0,S6
71,464644.0,5262449.0,2024-02-21,S655,Upland,259.7763,6.629145,0.5,S6
72,464644.0,5262449.0,2024-03-01,S655,Upland,259.7763,6.629145,0.5,S6
73,464644.0,5262449.0,2024-03-06,S655,Upland,259.7763,6.629145,0.0,S6
74,464644.0,5262449.0,2024-03-13,S655,Upland,259.7763,6.629145,0.0,S6
75,464644.0,5262449.0,2024-03-21,S655,Upland,259.7763,6.629145,0.0,S6
76,464644.0,5262449.0,2024-03-29,S655,Upland,259.7763,6.629145,17.0,S6
77,464644.0,5262449.0,2024-04-03,S655,Upland,259.7763,6.629145,8.0,S6
78,464644.0,5262449.0,2024-04-11,S655,Upland,259.7763,6.629145,0.0,S6
79,464644.0,5262449.0,2024-04-19,S655,Upland,259.7763,6.629145,0.0,S6
80,464644.0,5262449.0,2024-12-04,S655,Upland,259.7763,6.629145,9.0,S6
81,464644.0,5262449.0,2024-12-20,S655,Upland,259.7763,6.629145,12.0,S6
82,464644.0,5262449.0,2025-01-06,S655,Upland,259.7763,6.629145,10.0,S6
83,464644.0,5262449.0,2025-01-10,S655,Upland,259.7763,6.629145,10.0,S6
84,464644.0,5262449.0,2025-01-17,S655,Upland,259.7763,6.629145,15.0,S6
85,464644.0,5262449.0,2025-01-24,S655,Upland,259.7763,6.629145,20.0,S6
86,464644.0,5262449.0,2025-01-30,S655,Upland,259.7763,6.629145,19.0,S6
87,464644.0,5262449.0,2025-02-07,S655,Upland,259.7763,6.629145,28.0,S6
88,464644.0,5262449.0,2024-02-14,S655,Upland,259.7763,6.629145,29.0,S6
89,464644.0,5262449.0,2025-02-21,S655,Upland,259.7763,6.629145,27.0,S6
90,464644.0,5262449.0,2025-03-07,S655,Upland,259.7763,6.629145,12.0,S6
91,464644.0,5262449.0,2025-03-13,S655,Upland,259.7763,6.629145,7.0,S6
92,464644.0,5262449.0,2025-03-20,S655,Upland,259.7763,6.629145,4.0,S6
93,464644.0,5262449.0,2025-03-27,S655,Upland,259.7763,6.629145,3.0,S6
94,464644.0,5262449.0,2025-04-04,S655,Upland,259.7763,6.629145,7.0,S6
95,464644.0,5262449.0,2025-04-10,S655,Upland,259.7763,6.629145,5.0,S6
96,464644.0,5262658.0,2022-11-25,S654,Upland,350.3666,1.924451,0.0,S6
97,464644.0,5262658.0,2022-12-02,S654,Upland,350.3666,1.924451,8.0,S6
98,464644.0,5262658.0,2022-12-30,S654,Upland,350.3666,1.924451,38.0,S6
99,464644.0,5262658.0,2023-01-05,S654,Upland,350.3666,1.924451,32.0,S6
100,464644.0,5262658.0,2023-01-13,S654,Upland,350.3666,1.924451,31.0,S6
101,464644.0,5262658.0,2023-01-20,S654,Upland,350.3666,1.924451,36.5,S6
102,464644.0,5262658.0,2023-02-01,S654,Upland,350.3666,1.924451,37.0,S6
103,464644.0,5262658.0,2023-02-10,S654,Upland,350.3666,1.924451,35.0,S6
104,464644.0,5262658.0,2023-02-17,S654,Upland,350.3666,1.924451,33.0,S6
105,464644.0,5262658.0,2023-02-24,S654,Upland,350.3666,1.924451,41.0,S6
106,464644.0,5262658.0,2023-03-09,S654,Upland,350.3666,1.924451,43.0,S6
107,464644.0,5262658.0,2023-03-17,S654,Upland,350.3666,1.924451,53.0,S6
108,464644.0,5262658.0,2023-03-24,S654,Upland,350.3666,1.924451,57.0,S6
109,464644.0,5262658.0,2023-03-31,S654,Upland,350.3666,1.924451,51.0,S6
110,464644.0,5262658.0,2023-04-14,S654,Upland,350.3666,1.924451,9.0,S6
111,464644.0,5262658.0,2023-04-28,S654,Upland,350.3666,1.924451,0.0,S6
112,464644.0,5262658.0,2023-05-05,S654,Upland,350.3666,1.924451,0.0,S6
113,464644.0,5262658.0,2023-12-01,S654,Upland,350.3666,1.924451,0.0,S6
114,464644.0,5262658.0,2024-01-22,S654,Upland,350.3666,1.924451,11.0,S6
115,464644.0,5262658.0,2024-01-31,S654,Upland,350.3666,1.924451,7.0,S6
116,464644.0,5262658.0,2024-02-01,S654,Upland,350.3666,1.924451,0.5,S6
117,464644.0,5262658.0,2024-02-09,S654,Upland,350.3666,1.924451,0.5,S6
118,464644.0,5262658.0,2024-02-15,S654,Upland,350.3666,1.924451,2.0,S6
119,464644.0,5262658.0,2024-02-21,S654,Upland,350.3666,1.924451,0.0,S6
120,464644.0,5262658.0,2024-03-01,S654,Upland,350.3666,1.924451,0.0,S6
121,464644.0,5262658.0,2024-03-06,S654,Upland,350.3666,1.924451,0.0,S6
122,464644.0,5262658.0,2024-03-13,S654,Upland,350.3666,1.924451,0.0,S6
123,464644.0,5262658.0,2024-03-21,S654,Upland,350.3666,1.924451,0.0,S6
124,464644.0,5262658.0,2024-03-29,S654,Upland,350.3666,1.924451,17.0,S6
125,464644.0,5262658.0,2024-04-03,S654,Upland,350.3666,1.924451,6.0,S6
126,464644.0,5262658.0,2024-04-11,S654,Upland,350.3666,1.924451,0.0,S6
127,464644.0,5262658.0,2024-04-19,S654,Upland,350.3666,1.924451,0.0,S6
128,464644.0,5262658.0,2024-12-04,S654,Upland,350.3666,1.924451,10.0,S6
129,464644.0,5262658.0,2024-12-20,S654,Upland,350.3666,1.924451,16.0,S6
130,464644.0,5262658.0,2025-01-06,S654,Upland,350.3666,1.924451,12.0,S6
131,464644.0,5262658.0,2025-01-10,S654,Upland,350.3666,1.924451,12.0,S6
132,464644.0,5262658.0,2025-01-17,S654,Upland,350.3666,1.924451,20.0,S6
133,464644.0,5262658.0,2025-01-24,S654,Upland,350.3666,1.924451,23.0,S6
134,464644.0,5262658.0,2025-01-30,S654,Upland,350.3666,1.924451,23.0,S6
135,464644.0,5262658.0,2025-02-07,S654,Upland,350.3666,1.924451,37.0,S6
136,464644.0,5262658.0,2024-02-14,S654,Upland,350.3666,1.924451,33.0,S6
137,464644.0,5262658.0,2025-02-21,S654,Upland,350.3666,1.924451,34.0,S6
138,464644.0,5262658.0,2025-03-07,S654,Upland,350.3666,1.924451,16.0,S6
139,464644.0,5262658.0,2025-03-13,S654,Upland,350.3666,1.924451,10.0,S6
140,464644.0,5262658.0,2025-03-20,S654,Upland,350.3666,1.924451,2.0,S6
141,464644.0,5262658.0,2025-03-27,S654,Upland,350.3666,1.924451,0.0,S6
142,464644.0,5262658.0,2025-04-04,S654,Upland,350.3666,1.924451,9.0,S6
143,464644.0,5262658.0,2025-04-10,S654,Upland,350.3666,1.924451,0.0,S6
288,464582.2,5262240.0,2022-11-25,S646,Upland,166.1192,3.132299,0.0,S6
289,464582.2,5262240.0,2022-12-02,S646,Upland,166.1192,3.132299,0.0,S6
290,464582.2,5262240.0,2022-12-30,S646,Upland,166.1192,3.132299,28.0,S6
291,464582.2,5262240.0,2023-01-05,S646,Upland,166.1192,3.132299,20.0,S6
292,464582.2,5262240.0,2023-01-13,S646,Upland,166.1192,3.132299,25.0,S6
293,464582.2,5262240.0,2023-01-20,S646,Upland,166.1192,3.132299,27.5,S6
294,464582.2,5262240.0,2023-02-01,S646,Upland,166.1192,3.132299,29.0,S6
295,464582.2,5262240.0,2023-02-10,S646,Upland,166.1192,3.132299,27.0,S6
296,464582.2,5262240.0,2023-02-17,S646,Upland,166.1192,3.132299,27.0,S6
297,464582.2,5262240.0,2023-02-24,S646,Upland,166.1192,3.132299,34.0,S6
298,464582.2,5262240.0,2023-03-09,S646,Upland,166.1192,3.132299,31.0,S6
299,464582.2,5262240.0,2023-03-17,S646,Upland,166.1192,3.132299,42.0,S6
300,464582.2,5262240.0,2023-03-24,S646,Upland,166.1192,3.132299,38.0,S6
301,464582.2,5262240.0,2023-03-31,S646,Upland,166.1192,3.132299,34.0,S6
302,464582.2,5262240.0,2023-04-14,S646,Upland,166.1192,3.132299,0.0,S6
303,464582.2,5262240.0,2023-04-28,S646,Upland,166.1192,3.132299,0.0,S6
304,464582.2,5262240.0,2023-05-05,S646,Upland,166.1192,3.132299,0.0,S6
305,464582.2,5262240.0,2023-12-01,S646,Upland,166.1192,3.132299,0.0,S6
306,464582.2,5262240.0,2024-01-22,S646,Upland,166.1192,3.132299,9.0,S6
307,464582.2,5262240.0,2024-01-31,S646,Upland,166.1192,3.132299,4.0,S6
308,464582.2,5262240.0,2024-02-01,S646,Upland,166.1192,3.132299,0.5,S6
309,464582.2,5262240.0,2024-02-09,S646,Upland,166.1192,3.132299,0.5,S6
310,464582.2,5262240.0,2024-02-15,S646,Upland,166.1192,3.132299,0.5,S6
311,464582.2,5262240.0,2024-02-21,S646,Upland,166.1192,3.132299,0.0,S6
312,464582.2,5262240.0,2024-03-01,S646,Upland,166.1192,3.132299,0.5,S6
313,464582.2,5262240.0,2024-03-06,S646,Upland,166.1192,3.132299,0.0,S6
314,464582.2,5262240.0,2024-03-13,S646,Upland,166.1192,3.132299,0.0,S6
315,464582.2,5262240.0,2024-03-21,S646,Upland,166.1192,3.132299,0.0,S6
316,464582.2,5262240.0,2024-03-29,S646,Upland,166.1192,3.132299,20.0,S6
317,464582.2,5262240.0,2024-04-03,S646,Upland,166.1192,3.132299,8.0,S6
318,464582.2,5262240.0,2024-04-11,S646,Upland,166.1192,3.132299,0.0,S6
319,464582.2,5262240.0,2024-04-19,S646,Upland,166.1192,3.132299,0.0,S6
320,464582.2,5262240.0,2024-12-04,S646,Upland,166.1192,3.132299,11.0,S6
321,464582.2,5262240.0,2024-12-20,S646,Upland,166.1192,3.132299,10.0,S6
322,464582.2,5262240.0,2025-01-06,S646,Upland,166.1192,3.132299,6.0,S6
323,464582.2,5262240.0,2025-01-10,S646,Upland,166.1192,3.132299,8.0,S6
324,464582.2,5262240.0,2025-01-17,S646,Upland,166.1192,3.132299,13.0,S6
325,464582.2,5262240.0,2025-01-24,S646,Upland,166.1192,3.132299,18.0,S6
326,464582.2,5262240.0,2025-01-30,S646,Upland,166.1192,3.132299,11.0,S6
327,464582.2,5262240.0,2025-02-07,S646,Upland,166.1192,3.132299,24.0,S6
328,464582.2,5262240.0,2024-02-14,S646,Upland,166.1192,3.132299,21.0,S6
329,464582.2,5262240.0,2025-02-21,S646,Upland,166.1192,3.132299,24.0,S6
330,464582.2,5262240.0,2025-03-07,S646,Upland,166.1192,3.132299,7.0,S6
331,464582.2,5262240.0,2025-03-13,S646,Upland,166.1192,3.132299,0.0,S6
332,464582.2,5262240.0,2025-03-20,S646,Upland,166.1192,3.132299,0.0,S6
333,464582.2,5262240.0,2025-03-27,S646,Upland,166.1192,3.132299,0.0,S6
334,464582.2,5262240.0,2025-04-04,S646,Upland,166.1192,3.132299,9.0,S6
335,464582.2,5262240.0,2025-04-10,S646,Upland,166.1192,3.132299,0.0,S6
336,464582.2,5262449.0,2022-11-25,S645,Bog,154.9844,0.592828,0.0,S6
337,464582.2,5262449.0,2022-12-02,S645,Bog,154.9844,0.592828,3.0,S6
338,464582.2,5262449.0,2022-12-30,S645,Bog,154.9844,0.592828,33.0,S6
339,464582.2,5262449.0,2023-01-05,S645,Bog,154.9844,0.592828,36.0,S6
340,464582.2,5262449.0,2023-01-13,S645,Bog,154.9844,0.592828,28.0,S6
341,464582.2,5262449.0,2023-01-20,S645,Bog,154.9844,0.592828,36.0,S6
342,464582.2,5262449.0,2023-02-01,S645,Bog,154.9844,0.592828,37.0,S6
343,464582.2,5262449.0,2023-02-10,S645,Bog,154.9844,0.592828,35.0,S6
344,464582.2,5262449.0,2023-02-17,S645,Bog,154.9844,0.592828,27.0,S6
345,464582.2,5262449.0,2023-02-24,S645,Bog,154.9844,0.592828,41.0,S6
346,464582.2,5262449.0,2023-03-09,S645,Bog,154.9844,0.592828,29.0,S6
347,464582.2,5262449.0,2023-03-17,S645,Bog,154.9844,0.592828,47.0,S6
348,464582.2,5262449.0,2023-03-24,S645,Bog,154.9844,0.592828,39.0,S6
349,464582.2,5262449.0,2023-03-31,S645,Bog,154.9844,0.592828,36.0,S6
350,464582.2,5262449.0,2023-04-14,S645,Bog,154.9844,0.592828,14.0,S6
351,464582.2,5262449.0,2023-04-28,S645,Bog,154.9844,0.592828,0.0,S6
352,464582.2,5262449.0,2023-05-05,S645,Bog,154.9844,0.592828,0.0,S6
353,464582.2,5262449.0,2023-12-01,S645,Bog,154.9844,0.592828,0.0,S6
354,464582.2,5262449.0,2024-01-22,S645,Bog,154.9844,0.592828,12.0,S6
355,464582.2,5262449.0,2024-01-31,S645,Bog,154.9844,0.592828,5.0,S6
356,464582.2,5262449.0,2024-02-01,S645,Bog,154.9844,0.592828,0.5,S6
357,464582.2,5262449.0,2024-02-09,S645,Bog,154.9844,0.592828,0.5,S6
358,464582.2,5262449.0,2024-02-15,S645,Bog,154.9844,0.592828,0.5,S6
359,464582.2,5262449.0,2024-02-21,S645,Bog,154.9844,0.592828,0.0,S6
360,464582.2,5262449.0,2024-03-01,S645,Bog,154.9844,0.592828,0.0,S6
361,464582.2,5262449.0,2024-03-06,S645,Bog,154.9844,0.592828,0.0,S6
362,464582.2,5262449.0,2024-03-13,S645,Bog,154.9844,0.592828,0.0,S6
363,464582.2,5262449.0,2024-03-21,S645,Bog,154.9844,0.592828,0.0,S6
364,464582.2,5262449.0,2024-03-29,S645,Bog,154.9844,0.592828,17.0,S6
365,464582.2,5262449.0,2024-04-03,S645,Bog,154.9844,0.592828,6.0,S6
366,464582.2,5262449.0,2024-04-11,S645,Bog,154.9844,0.592828,0.0,S6
367,464582.2,5262449.0,2024-04-19,S645,Bog,154.9844,0.592828,0.0,S6
368,464582.2,5262449.0,2024-12-04,S645,Bog,154.9844,0.592828,11.0,S6
369,464582.2,5262449.0,2024-12-20,S645,Bog,154.9844,0.592828,16.0,S6
370,464582.2,5262449.0,2025-01-06,S645,Bog,154.9844,0.592828,11.0,S6
371,464582.2,5262449.0,2025-01-10,S645,Bog,154.9844,0.592828,14.0,S6
372,464582.2,5262449.0,2025-01-17,S645,Bog,154.9844,0.592828,17.0,S6
373,464582.2,5262449.0,2025-01-24,S645,Bog,154.9844,0.592828,20.0,S6
374,464582.2,5262449.0,2025-01-30,S645,Bog,154.9844,0.592828,19.0,S6
375,464582.2,5262449.0,2025-02-07,S645,Bog,154.9844,0.592828,32.0,S6
376,464582.2,5262449.0,2024-02-14,S645,Bog,154.9844,0.592828,29.0,S6
377,464582.2,5262449.0,2025-02-21,S645,Bog,154.9844,0.592828,30.0,S6
378,464582.2,5262449.0,2025-03-07,S645,Bog,154.9844,0.592828,11.0,S6
379,464582.2,5262449.0,2025-03-13,S645,Bog,154.9844,0.592828,0.0,S6
380,464582.2,5262449.0,2025-03-20,S645,Bog,154.9844,0.592828,0.0,S6
381,464582.2,5262449.0,2025-03-27,S645,Bog,154.9844,0.592828,0.0,S6
382,464582.2,5262449.0,2025-04-04,S645,Bog,154.9844,0.592828,10.0,S6
383,464582.2,5262449.0,2025-04-10,S645,Bog,154.9844,0.592828,0.0,S6
384,464582.2,5262658.0,2022-11-25,S644,Upland,226.2777,13.37794,0.0,S6
385,464582.2,5262658.0,2022-12-02,S644,Upland,226.2777,13.37794,0.0,S6
386,464582.2,5262658.0,2022-12-30,S644,Upland,226.2777,13.37794,28.0,S6
387,464582.2,5262658.0,2023-01-05,S644,Upland,226.2777,13.37794,26.0,S6
388,464582.2,5262658.0,2023-01-13,S644,Upland,226.2777,13.37794,28.0,S6
389,464582.2,5262658.0,2023-01-20,S644,Upland,226.2777,13.37794,25.0,S6
390,464582.2,5262658.0,2023-02-01,S644,Upland,226.2777,13.37794,33.0,S6
391,464582.2,5262658.0,2023-02-10,S644,Upland,226.2777,13.37794,31.0,S6
392,464582.2,5262658.0,2023-02-17,S644,Upland,226.2777,13.37794,32.0,S6
393,464582.2,5262658.0,2023-02-24,S644,Upland,226.2777,13.37794,32.0,S6
394,464582.2,5262658.0,2023-03-09,S644,Upland,226.2777,13.37794,30.0,S6
395,464582.2,5262658.0,2023-03-17,S644,Upland,226.2777,13.37794,45.0,S6
396,464582.2,5262658.0,2023-03-24,S644,Upland,226.2777,13.37794,48.0,S6
397,464582.2,5262658.0,2023-03-31,S644,Upland,226.2777,13.37794,32.0,S6
398,464582.2,5262658.0,2023-04-14,S644,Upland,226.2777,13.37794,0.0,S6
399,464582.2,5262658.0,2023-04-28,S644,Upland,226.2777,13.37794,0.0,S6
400,464582.2,5262658.0,2023-05-05,S644,Upland,226.2777,13.37794,0.0,S6
401,464582.2,5262658.0,2023-12-01,S644,Upland,226.2777,13.37794,0.0,S6
402,464582.2,5262658.0,2024-01-22,S644,Upland,226.2777,13.37794,9.0,S6
403,464582.2,5262658.0,2024-01-31,S644,Upland,226.2777,13.37794,6.0,S6
404,464582.2,5262658.0,2024-02-01,S644,Upland,226.2777,13.37794,0.5,S6
405,464582.2,5262658.0,2024-02-09,S644,Upland,226.2777,13.37794,0.5,S6
406,464582.2,5262658.0,2024-02-15,S644,Upland,226.2777,13.37794,0.5,S6
407,464582.2,5262658.0,2024-02-21,S644,Upland,226.2777,13.37794,0.0,S6
408,464582.2,5262658.0,2024-03-01,S644,Upland,226.2777,13.37794,0.0,S6
409,464582.2,5262658.0,2024-03-06,S644,Upland,226.2777,13.37794,0.0,S6
410,464582.2,5262658.0,2024-03-13,S644,Upland,226.2777,13.37794,0.0,S6
411,464582.2,5262658.0,2024-03-21,S644,Upland,226.2777,13.37794,0.0,S6
412,464582.2,5262658.0,2024-03-29,S644,Upland,226.2777,13.37794,18.0,S6
413,464582.2,5262658.0,2024-04-03,S644,Upland,226.2777,13.37794,9.0,S6
414,464582.2,5262658.0,2024-04-11,S644,Upland,226.2777,13.37794,0.0,S6
415,464582.2,5262658.0,2024-04-19,S644,Upland,226.2777,13.37794,0.0,S6
416,464582.2,5262658.0,2024-12-04,S644,Upland,226.2777,13.37794,8.0,S6
417,464582.2,5262658.0,2024-12-20,S644,Upland,226.2777,13.37794,15.0,S6
418,464582.2,5262658.0,2025-01-06,S644,Upland,226.2777,13.37794,10.0,S6
419,464582.2,5262658.0,2025-01-10,S644,Upland,226.2777,13.37794,11.0,S6
420,464582.2,5262658.0,2025-01-17,S644,Upland,226.2777,13.37794,14.0,S6
421,464582.2,5262658.0,2025-01-24,S644,Upland,226.2777,13.37794,18.0,S6
422,464582.2,5262658.0,2025-01-30,S644,Upland,226.2777,13.37794,16.0,S6
423,464582.2,5262658.0,2025-02-07,S644,Upland,226.2777,13.37794,30.0,S6
424,464582.2,5262658.0,2024-02-14,S644,Upland,226.2777,13.37794,27.0,S6
425,464582.2,5262658.0,2025-02-21,S644,Upland,226.2777,13.37794,28.0,S6
426,464582.2,5262658.0,2025-03-07,S644,Upland,226.2777,13.37794,12.0,S6
427,464582.2,5262658.0,2025-03-13,S644,Upland,226.2777,13.37794,0.0,S6
428,464582.2,5262658.0,2025-03-20,S644,Upland,226.2777,13.37794,0.0,S6
429,464582.2,5262658.0,2025-03-27,S644,Upland,226.2777,13.37794,0.0,S6
430,464582.2,5262658.0,2025-04-04,S644,Upland,226.2777,13.37794,8.0,S6
431,464582.2,5262658.0,2025-04-10,S644,Upland,226.2777,13.37794,0.0,S6
432,464582.2,5262867.0,2022-11-25,S643,Upland,203.7467,2.9316,0.0,S6
433,464582.2,5262867.0,2022-12-02,S643,Upland,203.7467,2.9316,5.0,S6
434,464582.2,5262867.0,2022-12-30,S643,Upland,203.7467,2.9316,24.0,S6
435,464582.2,5262867.0,2023-01-05,S643,Upland,203.7467,2.9316,18.0,S6
436,464582.2,5262867.0,2023-01-13,S643,Upland,203.7467,2.9316,25.0,S6
437,464582.2,5262867.0,2023-01-20,S643,Upland,203.7467,2.9316,27.0,S6
438,464582.2,5262867.0,2023-02-01,S643,Upland,203.7467,2.9316,32.0,S6
439,464582.2,5262867.0,2023-02-10,S643,Upland,203.7467,2.9316,28.0,S6
440,464582.2,5262867.0,2023-02-17,S643,Upland,203.7467,2.9316,27.0,S6
441,464582.2,5262867.0,2023-02-24,S643,Upland,203.7467,2.9316,29.0,S6
442,464582.2,5262867.0,2023-03-09,S643,Upland,203.7467,2.9316,30.0,S6
