SITE,DATE,SWE_cm
S220,1/13/2023,3.556
S215,1/13/2023,7.62
S205,1/13/2023,5.08
S204,1/13/2023,0.254
S203,1/13/2023,8.128
S202,1/13/2023,5.08
S201,1/13/2023,6.858
S200,1/13/2023,7.62
S211,1/13/2023,8.382
S221,1/13/2023,6.35
S212,1/13/2023,5.08
S222,1/13/2023,7.874
S232,1/13/2023,4.318
S233,1/13/2023,4.318
S223,1/13/2023,6.604
S213,1/13/2023,5.588
S214,1/13/2023,7.112
S224,1/13/2023,6.858
S234,1/13/2023,4.826
S244,1/13/2023,8.636
S243,1/13/2023,5.842
S254,1/13/2023,7.62
S255,1/13/2023,5.588
S245,1/13/2023,7.366
S246,1/13/2023,4.572
S236,1/13/2023,7.874
S226,1/13/2023,5.334
S225,1/13/2023,10.414
S235,1/13/2023,6.35
S601,1/13/2023,2.286
S602,1/13/2023,5.334
S603,1/13/2023,4.064
S613,1/13/2023,4.318
S614,1/13/2023,3.302
S624,1/13/2023,7.62
S625,1/13/2023,5.588
S635,1/13/2023,5.08
S636,1/13/2023,4.318
S646,1/13/2023,4.572
S645,1/13/2023,5.334
S655,1/13/2023,6.096
S654,1/13/2023,6.858
S644,1/13/2023,6.096
S633,1/13/2023,3.302
S643,1/13/2023,4.572
S642,1/13/2023,
S632,1/13/2023,3.81
S622,1/13/2023,1.27
S631,1/13/2023,5.334
S621,1/13/2023,4.318
S611,1/13/2023,6.858
S612,1/13/2023,8.128
S623,1/13/2023,8.89
S634,1/13/2023,8.382
S220,1/20/2023,8.89
S215,1/20/2023,9.398
S205,1/20/2023,7.366
S204,1/20/2023,6.096
S203,1/20/2023,5.842
S202,1/20/2023,5.588
S201,1/20/2023,7.874
S200,1/20/2023,7.62
S211,1/20/2023,6.604
S221,1/20/2023,8.128
S212,1/20/2023,7.112
S222,1/20/2023,8.382
S232,1/20/2023,5.08
S233,1/20/2023,9.652
S223,1/20/2023,8.382
S213,1/20/2023,7.62
S214,1/20/2023,8.89
S224,1/20/2023,8.382
S234,1/20/2023,6.096
S244,1/20/2023,10.16
S243,1/20/2023,6.858
S254,1/20/2023,8.128
S255,1/20/2023,6.35
S245,1/20/2023,7.62
S246,1/20/2023,7.112
S236,1/20/2023,9.144
S226,1/20/2023,7.366
S225,1/20/2023,8.636
S235,1/20/2023,9.652
S601,1/20/2023,4.064
S602,1/20/2023,5.588
S603,1/20/2023,2.54
S613,1/20/2023,5.334
S614,1/20/2023,3.556
S624,1/20/2023,4.572
S625,1/20/2023,5.588
S635,1/20/2023,7.62
S636,1/20/2023,5.08
S646,1/20/2023,4.572
S645,1/20/2023,7.874
S655,1/20/2023,6.858
S654,1/20/2023,8.128
S644,1/20/2023,3.556
S633,1/20/2023,4.572
S643,1/20/2023,4.318
S642,1/20/2023,6.096
S632,1/20/2023,4.572
S622,1/20/2023,3.81
S631,1/20/2023,4.064
S621,1/20/2023,3.302
S611,1/20/2023,7.366
S612,1/20/2023,7.874
S623,1/20/2023,5.334
S634,1/20/2023,11.176
S601,2/1/2023,4.318
S602,2/1/2023,7.366
S603,2/1/2023,4.826
S613,2/1/2023,8.382
S614,2/1/2023,6.35
S624,2/1/2023,6.858
S625,2/1/2023,8.636
S635,2/1/2023,7.62
S636,2/1/2023,7.112
S646,2/1/2023,5.334
S645,2/1/2023,8.128
S655,2/1/2023,6.096
S654,2/1/2023,8.636
S644,2/1/2023,6.096
S633,2/1/2023,4.826
S643,2/1/2023,6.858
S642,2/1/2023,6.604
S632,2/1/2023,3.048
S622,2/1/2023,3.556
S631,2/1/2023,3.81
S621,2/1/2023,4.572
S611,2/1/2023,4.826
S612,2/1/2023,7.874
S623,2/1/2023,6.096
S634,2/1/2023,6.096
S220,2/10/2023,8.382
S215,2/10/2023,11.684
S205,2/10/2023,7.874
S204,2/10/2023,6.096
S203,2/10/2023,6.096
S202,2/10/2023,6.35
S201,2/10/2023,7.874
S200,2/10/2023,8.636
S211,2/10/2023,8.636
S221,2/10/2023,6.35
S212,2/10/2023,6.35
S222,2/10/2023,6.604
S232,2/10/2023,5.588
S233,2/10/2023,10.414
S223,2/10/2023,9.652
S213,2/10/2023,6.35
S214,2/10/2023,8.382
S224,2/10/2023,7.366
S234,2/10/2023,8.128
S244,2/10/2023,9.398
S243,2/10/2023,8.636
S254,2/10/2023,8.128
S255,2/10/2023,8.636
S245,2/10/2023,10.16
S246,2/10/2023,9.652
S236,2/10/2023,8.89
S226,2/10/2023,6.858
S225,2/10/2023,11.938
S235,2/10/2023,8.89
S601,2/10/2023,1.778
S602,2/10/2023,6.858
S603,2/10/2023,5.334
S613,2/10/2023,8.128
S614,2/10/2023,5.842
S624,2/10/2023,7.112
S625,2/10/2023,7.112
S635,2/10/2023,8.89
S636,2/10/2023,5.842
S646,2/10/2023,3.81
S645,2/10/2023,8.636
S655,2/10/2023,6.858
S654,2/10/2023,8.128
S644,2/10/2023,6.604
S633,2/10/2023,5.842
S643,2/10/2023,2.794
S642,2/10/2023,8.382
S632,2/10/2023,5.08
S622,2/10/2023,3.302
S631,2/10/2023,0.762
S621,2/10/2023,5.334
S611,2/10/2023,6.858
S612,2/10/2023,7.874
S623,2/10/2023,9.906
S634,2/10/2023,11.176
S220,2/17/2023,11.43
S215,2/17/2023,9.144
S205,2/17/2023,7.62
S204,2/17/2023,3.81
S203,2/17/2023,7.112
S202,2/17/2023,7.874
S201,2/17/2023,10.16
S200,2/17/2023,5.842
S211,2/17/2023,12.954
S221,2/17/2023,6.858
S212,2/17/2023,5.334
S222,2/17/2023,5.842
S232,2/17/2023,9.144
S233,2/17/2023,5.08
S223,2/17/2023,8.128
S213,2/17/2023,10.668
S214,2/17/2023,9.906
S224,2/17/2023,8.382
S234,2/17/2023,9.398
S244,2/17/2023,10.668
S243,2/17/2023,9.906
S254,2/17/2023,9.652
S255,2/17/2023,6.604
S245,2/17/2023,7.112
S246,2/17/2023,10.16
S236,2/17/2023,10.668
S226,2/17/2023,8.382
S225,2/17/2023,9.906
S235,2/17/2023,6.858
S601,2/17/2023,4.826
S602,2/17/2023,2.54
S603,2/17/2023,4.572
S613,2/17/2023,6.858
S614,2/17/2023,5.588
S624,2/17/2023,8.382
S625,2/17/2023,5.842
