,STAKE NO,DATE,FROST.1,Zones,Watershed
55,S215,2023-01-05,0.0,Upland,S2
56,S205,2023-01-05,0.0,Upland,S2
81,S225,2023-01-05,0.0,Lagg,S2
85,S603,2023-01-05,9.144,Upland,S6
86,S613,2023-01-05,0.0,Lagg,S6
100,S632,2023-01-05,11.2776,Upland,S6
101,S622,2023-01-05,11.8872,Lagg,S6
106,S623,2023-01-05,0.0,Bog,S6
164,S205,2023-01-20,0.0,Upland,S2
165,S204,2023-01-20,23.4696,Upland,S2
180,S234,2023-01-20,0.0,Bog,S2
181,S244,2023-01-20,0.0,Upland,S2
183,S254,2023-01-20,0.0,Upland,S2
189,S225,2023-01-20,0.0,Lagg,S2
193,S603,2023-01-20,9.7536,Upland,S6
194,S613,2023-01-20,0.0,Lagg,S6
208,S632,2023-01-20,9.4488,Upland,S6
209,S622,2023-01-20,14.3256,Lagg,S6
214,S623,2023-01-20,0.0,Bog,S6
217,S215,2023-01-30,0.0,Upland,S2
218,S205,2023-01-30,0.0,Upland,S2
234,S234,2023-01-30,9.4488,Bog,S2
235,S244,2023-01-30,8.8392,Upland,S2
237,S254,2023-01-30,0.0,Upland,S2
243,S225,2023-01-30,0.0,Lagg,S2
247,S603,2023-01-30,12.4968,Upland,S6
248,S613,2023-01-30,8.5344,Lagg,S6
262,S632,2023-01-30,12.192,Upland,S6
263,S622,2023-01-30,23.4696,Lagg,S6
268,S623,2023-01-30,1.2192,Bog,S6
289,S244,2023-02-10,7.0104,Upland,S2
291,S254,2023-02-10,0.0,Upland,S2
301,S603,2023-02-10,9.4488,Upland,S6
302,S613,2023-02-10,20.7264,Lagg,S6
316,S632,2023-02-10,28.3464,Upland,S6
317,S622,2023-02-10,0.0,Lagg,S6
322,S623,2023-02-10,5.4864,Bog,S6
433,S215,2023-03-09,6.4008,Upland,S2
434,S205,2023-03-09,4.8768,Upland,S2
450,S234,2023-03-09,0.0,Bog,S2
451,S244,2023-03-09,0.0,Upland,S2
453,S254,2023-03-09,0.0,Upland,S2
459,S225,2023-03-09,0.0,Lagg,S2
463,S603,2023-03-09,11.2776,Upland,S6
464,S613,2023-03-09,0.0,Lagg,S6
478,S632,2023-03-09,35.3568,Upland,S6
479,S622,2023-03-09,28.0416,Lagg,S6
484,S623,2023-03-09,0.0,Bog,S6
487,S215,2023-03-17,0.0,Upland,S2
488,S205,2023-03-17,12.4968,Upland,S2
504,S234,2023-03-17,0.0,Bog,S2
505,S244,2023-03-17,13.1064,Upland,S2
507,S254,2023-03-17,0.0,Upland,S2
513,S225,2023-03-17,11.8872,Lagg,S2
517,S603,2023-03-17,11.8872,Upland,S6
518,S613,2023-03-17,21.6408,Lagg,S6
532,S632,2023-03-17,9.7536,Upland,S6
533,S622,2023-03-17,5.7912,Lagg,S6
538,S623,2023-03-17,8.5344,Bog,S6
541,S215,2023-03-24,0.0,Upland,S2
542,S205,2023-03-24,0.0,Upland,S2
558,S234,2023-03-24,0.0,Bog,S2
559,S244,2023-03-24,11.8872,Upland,S2
561,S254,2023-03-24,0.0,Upland,S2
567,S225,2023-03-24,0.0,Lagg,S2
571,S603,2023-03-24,5.4864,Upland,S6
572,S613,2023-03-24,8.5344,Lagg,S6
586,S632,2023-03-24,8.8392,Upland,S6
587,S622,2023-03-24,7.62,Lagg,S6
592,S623,2023-03-24,5.4864,Bog,S6
680,S613,2023-04-13,0.0,Lagg,S6
694,S632,2023-04-13,9.144,Upland,S6
695,S622,2023-04-13,0.0,Lagg,S6
703,S215,2023-04-28,0.0,Upland,S2
704,S205,2023-04-28,0.0,Upland,S2
720,S234,2023-04-28,0.0,Bog,S2
721,S244,2023-04-28,0.0,Upland,S2
723,S254,2023-04-28,0.0,Upland,S2
729,S225,2023-04-28,0.0,Lagg,S2
733,S603,2023-04-27,0.0,Upland,S6
734,S613,2023-04-27,0.0,Lagg,S6
748,S632,2023-04-27,0.0,Upland,S6
749,S622,2023-04-27,0.0,Lagg,S6
754,S623,2023-04-27,0.0,Bog,S6
