"Watershed","SnowcourseID","Date","Point","SnowDEPTH","SWE"
"JUNCTION","JUNC",1984-02-15,1,53,13
"JUNCTION","JUNC",1984-02-15,2,64,17
"JUNCTION","JUNC",1984-02-15,3,46,9
"JUNCTION","JUNC",1984-02-15,4,58,14
"JUNCTION","JUNC",1984-02-15,5,51,11
"JUNCTION","JUNC",1984-02-15,6,55,14
"JUNCTION","JUNC",1984-02-15,7,55,15
"JUNCTION","JUNC",1984-02-15,8,50,10
"JUNCTION","JUNC",1984-02-15,9,46,10
"JUNCTION","JUNC",1984-02-15,10,46,11
"JUNCTION","JUNC",1984-02-29,1,42,11
"JUNCTION","JUNC",1984-02-29,2,53,16
"JUNCTION","JUNC",1984-02-29,3,34,9
"JUNCTION","JUNC",1984-02-29,4,43,12
"JUNCTION","JUNC",1984-02-29,5,43,12
"JUNCTION","JUNC",1984-02-29,6,51,14
"JUNCTION","JUNC",1984-02-29,7,53,14
"JUNCTION","JUNC",1984-02-29,8,39,11
"JUNCTION","JUNC",1984-02-29,9,38,12
"JUNCTION","JUNC",1984-02-29,10,38,10
"JUNCTION","JUNC",1984-03-14,1,56,16
"JUNCTION","JUNC",1984-03-14,2,58,17
"JUNCTION","JUNC",1984-03-14,3,22,5
"JUNCTION","JUNC",1984-03-14,4,52,14
"JUNCTION","JUNC",1984-03-14,5,33,9
"JUNCTION","JUNC",1984-03-14,6,48,15
"JUNCTION","JUNC",1984-03-14,7,36,10
"JUNCTION","JUNC",1984-03-14,8,44,11
"JUNCTION","JUNC",1984-03-14,9,43,11
"JUNCTION","JUNC",1984-03-14,10,38,11
"JUNCTION","JUNC",1984-03-28,1,25,6
"JUNCTION","JUNC",1984-03-28,2,30,10
"JUNCTION","JUNC",1984-03-28,3,0,0
"JUNCTION","JUNC",1984-03-28,4,33,10
"JUNCTION","JUNC",1984-03-28,5,27,8
"JUNCTION","JUNC",1984-03-28,6,0,0
"JUNCTION","JUNC",1984-03-28,7,20,4
"JUNCTION","JUNC",1984-03-28,8,10,2
"JUNCTION","JUNC",1984-03-28,9,28,8
"JUNCTION","JUNC",1984-03-28,10,10,4
"JUNCTION","JUNC",1985-02-22,1,33,5
