Stake,Label,Horizon,Start Depth (cm),End Depth (cm),Structure,Consistency,Mottled,%Clay,%Silt,%Sand
S200,S200-1,A,1,10,granular,friable,,14.85148515,31.68316832,53.46534653
S200,S200-2,B,10,20,granular,friable,,21.78217822,25.74257426,52.47524752
S200,S200-3,BC,20,31,granular/blocky,friable/firm,,34.65346535,21.45214521,43.89438944
S200,S200-4,C,31,100,blocky,firm,,47.52475248,13.53135314,38.94389439
S201,S201-1,A,0,14,granular,friable,,16.03960396,20.0660066,63.89438944
S201,S201-2,B,14,23,granular,friable,,18.01980198,19.7359736,62.24422442
S201,S201-3,BC,23,35,granular/blocky,firm,,27.92079208,20.3960396,51.68316832
S201,S201-4,CB,35,56,blocky,firm,,37.02970297,18.74587459,44.22442244
S201,S201-5,C,56,100,blocky,firm,,42.97029703,14.45544554,42.57425743
S202,S202-1,A,1,4,granular,friable,,10.2970297,24.68646865,65.01650165
S202,S202-2,E,4,8,single/granular,loose/friable,,9.306930693,24.35643564,66.33663366
S202,S202-3,B1,8,15,single/granular,loose/friable,,11.88118812,20.1320132,67.98679868
S202,S202-4,B2,15,31,single/granular,loose/friable,,15.84158416,16.83168317,67.32673267
S202,S202-5,BC,31,39,single/granular,loose/friable,,23.76237624,23.43234323,52.80528053
S202,S202-6,CB,39,56,blocky,firm,,38.41584158,17.82178218,43.76237624
S202,S202-7,C,56,100,blocky,firm,,40.3960396,19.8019802,39.8019802
S203,S203-1,A,2,13,granular/blocky,friable,,14.65346535,23.76237624,61.58415842
S203,S203-2,AB,13,31,blocky/granular,friable/firm,,28.51485149,19.8019802,51.68316832
S203,S203-3,B1,31,52,blocky,firm,mottled,32.47524752,31.68316832,35.84158416
S203,S203-4,BC,52,64,blocky,firm,mottled,38.01980198,19.40594059,42.57425743
S203,S203-5,CB,64,76,blocky,firm,mottled,38.01980198,18.74587459,43.23432343
S203,S203-6,C,76,100,prismatic,firm,slightly mottled,38.01980198,12.80528053,49.17491749
S204,S204-1,A,0,11,granular,friable,,9.108910891,20.4620462,70.4290429
S204,S204-2,E,11,20,granular,friable,,9.108910891,17.82178218,73.06930693
S204,S204-3,B,20,34,single/granular,loose/friable,,11.08910891,17.16171617,71.74917492
S204,S204-4,BC,34,50,blocky/granular,firm,,34.45544554,17.82178218,47.72277228
S204,S204-5,CB,50,60,blocky/granular,firm,,41.38613861,16.83168317,41.78217822
S204,S204-6,C,60,78,blocky,firm,,38.41584158,18.48184818,43.10231023
S205,S205-1,A,0,10,granular,friable,,13.86138614,24.09240924,62.04620462
S205,S205-2,E,10,18,granular,friable,,15.84158416,22.11221122,62.04620462
S205,S205-3,B1,18,26,single/granular,loose/friable,,15.84158416,15.84158416,68.31683168
S205,S205-4,B2,26,33,single/granular,loose/friable,,15.84158416,18.01980198,66.13861386
S205,S205-5,B3,33,39,single/granular,loose/friable,,17.82178218,19.07590759,63.10231023
S205,S205-6,BC,39,58,ganular/blocky,friable/firm,,27.72277228,23.03630363,49.24092409
S205,S205-7,C,58,100,blocky,firm,,43.56435644,17.42574257,39.00990099
S214,S214-1,A,0,4,granular,friable,,11.88118812,17.82178218,70.2970297
S214,S214-2,AE,4,12,granular,friable,,12.87128713,21.12211221,66.00660066
S214,S214-3,BE,12,20,single/granular,loose/friable,,13.86138614,22.44224422,63.69636964
S214,S214-4,B1,20,39,single/granular,loose/friable,,13.86138614,14.52145215,71.61716172
S214,S214-5,B2,39,60,single/granular,loose/friable,,11.88118812,6.270627063,81.84818482
S214,S214-6,BC,6,86,granular/blocky,friable/firm,,19.8019802,10.89108911,69.30693069
S214,S214-7,CB,86,100,blocky,firm,,29.7029703,14.78547855,55.51155116
S215,S215-1,A,0,9,granular,friable,,15.84158416,44.15841584,40
S215,S215-2,AB,9,15,single/granular,loose/friable,,17.82178218,42.83828383,39.33993399
S215,S215-3,B1,15,23,single/granular,loose/friable,,21.78217822,33.92739274,44.29042904
S215,S215-4,B2,23,28,single/granular,loose/friable,,27.72277228,29.9669967,42.31023102
S215,S215-5,BC,28,42,granular/blocky,firm,,46.53465347,16.83168317,36.63366337
S215,S215-6,CB,42,51,blocky,firm,,43.56435644,15.84158416,40.59405941
S215,S215-7,C,51,100,blocky,firm,,43.56435644,17.16171617,39.27392739
S220,S220-1,A,1,15,granular,friable,,11.28712871,17.42574257,71.28712871
S220,S220-2,AB,15,31,granular,friable,,12.27722772,15.44554455,72.27722772
S220,S220-3,B1,31,43,granular,friable,,12.27722772,13.46534653,74.25742574
S220,S220-4,B2,43,53,granular,friable,,10.69306931,9.108910891,80.1980198
S220,S220-5,BC,53,72,granular,friable,,11.88118812,3.564356436,84.55445545
S220,S220-6,CB,72,100,blocky,firm,,34.45544554,16.03960396,49.5049505
S226,S226-1,A,0,8,granular,friable,,12.67326733,23.76237624,63.56435644
S226,S226-2,E,8,14,single/granular,loose/friable,,14.65346535,21.12211221,64.22442244
S226,S226-3,B1,14,55,single/granular,loose/friable,,8.712871287,17.82178218,73.46534653
S226,S226-4,B2,55,72,single/granular,loose/friable,,10.69306931,13.86138614,75.44554455
S226,S226-5,BC,72,87,single/granular,loose/friable,,10.69306931,11.22112211,78.08580858
S226,S226-6,CB,87,102,single/granular,loose/friable,,8.712871287,9.900990099,81.38613861
S236,S236-1,A,1,20,granular/blocky,friable,,10.69306931,11.22112211,78.08580858
S236,S236-2,AB,20,28,granular,friable,,14.65346535,16.50165017,68.84488449
S236,S236-3,BC,28,38,granular/blocky,firm,mottled,21.78217822,16.63366337,61.58415842
S236,S236-4,C,38,100,prismatic,firm,mottled,36.63366337,14.32343234,49.04290429
S243,S243-1,A,0,10,granular,friable,,18.61386139,27.06270627,54.32343234
S243,S243-2,B,10,32,blocky,friable/firm,,34.65346535,19.6039604,45.74257426
S243,S243-3,CB,32,53,blocky,firm,,45.54455446,14.32343234,40.1320132
S243,S243-4,C,53,100,blocky,firm,,46.53465347,18.94389439,34.52145215
S244,S244-1,A,0,9,granular,friable,,14.65346535,29.04290429,56.30363036
S244,S244-2,AB,9,25,granular/blocky,friable,,16.63366337,22.77227723,60.59405941
S244,S244-3,B,25,35,granular/blocky,friable,,39.40594059,14.85148515,45.74257426
S244,S244-4,BC,35,56,granular/blocky,friable/firm,,19.6039604,19.8019802,60.59405941
S244,S244-5,CB,56,73,blocky,frim,,44.35643564,17.82178218,37.82178218
S244,S244-6,C,73,104,blocky,firm,,45.34653465,17.49174917,37.16171617
S245,S245-1,A,1,11,granular,friable,,11.68316832,24.68646865,63.63036304
S245,S245-2,EB,11,15,granular,friable,,12.67326733,22.70627063,64.62046205
S245,S245-3,B,15,29,granular,friable,,14.65346535,20.52805281,64.81848185
S245,S245-4,BC,29,45,blocky,friable/firm,,26.53465347,18.41584158,55.04950495
S245,S245-5,CB,45,67,blocky,firm,,46.33663366,15.51155116,38.15181518
S245,S245-6,C,67,100,blocky,firm,,40.3960396,18.81188119,40.79207921
S246,S246-1,A,1,14,granular,friable,,12.87128713,23.23432343,63.89438944
