,Stake_ID,Zone,% Sky Area,% Mask Area,% Cnpy Open,% Site Open,LAI 4Ring,LAI 5Ring,Watershed,OLS Prediction Ring 4,WLS Prediction Ring 4,OLS Prediction Ring 5,WLS Prediction Ring 5,Summer LAI 4Ring,Summer LAI 5Ring
28,S603,Upland,99.9,0.1,10.11,10.11,2.8225,2.3600000000000003,S6,2.441774921623541,2.5249985222559217,1.9383061969077493,2.035946351462026,2.79,2.1174999999999997
29,S611,Lagg,99.9,0.1,8.5575,8.5575,2.7375,2.55,S6,2.3610477868658952,2.4437857504604734,2.13332654749133,2.235939258399332,1.97,1.9249999999999998
30,S612,Bog,99.9,0.1,17.6875,17.6875,1.8225,2.0975,S6,1.4920439244747623,1.5695541481918258,1.668870186233065,1.759640361614432,2.16,2.1174999999999997
31,S613,Lagg,99.89750000000001,0.10250000000000001,15.17,15.17,2.33,2.1799999999999997,S6,1.9740324055277678,2.0544421680293548,1.753550075302251,1.846479386995104,2.1375,2.035
32,S614,Upland,99.8925,0.1075,13.5075,13.5075,2.4675000000000002,2.085,S6,2.1046204176357253,2.185815769463168,1.6560399000104609,1.7464829335264511,2.24,1.93
33,S621,Upland,99.89,0.11,8.8275,8.8275,2.835,3.08,S6,2.4536465590879013,2.536941576931723,2.67733068332974,2.793814209329712,2.2875,2.2375
34,S622,Lagg,99.89,0.11,14.6825,14.6825,2.18,2.0975,S6,1.831572755955451,1.9111255119197403,1.668870186233065,1.759640361614432,2.1475,1.97
35,S623,Bog,99.89,0.11,26.055,26.055,1.1975,1.325,S6,0.8984620512567754,0.9724014144017658,0.875958497676137,0.9465113057772265,0.9249999999999999,0.8875
36,S624,Lagg,99.89,0.11,21.759999999999998,21.759999999999998,1.595,1.5075,S6,1.275980122623415,1.352190553092244,1.0632806765261558,1.1386097558617445,2.4875,2.21
37,S625,Upland,99.89,0.11,28.6525,28.6525,1.2475,1.15,S6,0.9459486011142144,1.0201736331049707,0.6963344905596809,0.7623073125454972,1.21,1.1575
38,S631,Upland,99.89,0.11,10.455,10.455,2.46,2.4825,S6,2.097497435157109,2.178649936657687,2.064043001889268,2.1648891467242364,1.698,1.8820000000000001
39,S632,Upland,99.89,0.11,14.215,14.215,2.0475,2.0025,S6,1.7057333988332375,1.7845291323562473,1.5713600109412742,1.6596439081457788,1.4125,1.4825
40,S633,Lagg,99.89,0.11,16.035,16.035,2.04,2.015,S6,1.6986104163546218,1.7773632995507667,1.5841902971638786,1.6728013362337595,2.51,2.2025
41,S634,Bog,99.8925,0.1075,23.4725,23.4725,1.4625,1.46,S6,1.1501407655012017,1.2255941735287512,1.0145255888802602,1.0886115291274179,2.025,1.7349999999999999
42,S635,Lagg,99.89,0.11,34.4675,34.4675,0.8975,0.955,S6,0.6135427521121416,0.6857681021825369,0.49618202548705836,0.5570514343729989,1.7,1.605
43,S636,Upland,99.91,0.09,36.97,36.97,0.8825000000000001,0.88,S6,0.59929678715491,0.6714364365715756,0.41920030815143433,0.4781068658451149,1.4849999999999999,1.3225
44,S642,Upland,99.9,0.1,20.565,20.565,1.475,1.6875,S6,1.1620124029655616,1.2375372282045525,1.2480367981316534,1.3280767203286659,1.495,1.635
45,S643,Upland,99.9,0.1,13.33,13.33,2.35,2.165,S6,1.9930270254707434,2.0735510555106367,1.7381537318351266,1.8306904732895275,1.9525,1.8625
46,S644,Upland,99.9,0.1,19.66,19.66,1.5675000000000001,1.725,S6,1.2498625202018239,1.3259158328054814,1.2865276567994655,1.367549004592608,1.9825,2.1125
47,S645,Bog,99.91,0.09,32.84,32.84,0.9450000000000001,1.0925,S6,0.6586549744767087,0.7311517099505817,0.6373151739357025,0.7017831433407863,2.9325,2.69
48,S646,Upland,99.9,0.1,18.53,18.53,1.8475,1.6625,S6,1.5157871994034817,1.593440257543428,1.2223762256864454,1.3017618641527047,1.7525,1.545
49,S654,Upland,99.9,0.1,36.255,36.255,0.765,0.9225,S6,0.48770339498992843,0.5591717226190442,0.4628232813082879,0.5228421213442491,1.8475000000000001,1.92
50,S655,Upland,99.9,0.1,18.82,18.82,1.7425,1.8425,S6,1.41606544470286,1.4931185982666981,1.407132347291943,1.4912288286196262,1.36,1.55
