,SITE,Melt_cm,SWE_cm,FROST.1,Stake_ID,Zone,OLS Prediction Ring 5
0,S204,0.0,6.096,23.4696,S204,Upland,1.7509840180577307
1,S205,2.032,14.224,12.4968,S205,Upland,0.7784483223843466
2,S215,6.3500000000000005,18.542,6.4008,S215,Upland,0.008631149028106
3,S225,11.684000000000001,13.716,11.8872,S225,Lagg,0.8246373527857209
4,S234,0.5080000000000009,13.97,0.0,S234,Bog,0.7425235209610552
5,S244,3.8100000000000005,14.224,13.1064,S244,Upland,0.2960295604144358
6,S254,3.301999999999998,16.002,0.0,S254,Upland,0.1523303547212709
7,S603,4.572,7.112,11.8872,S603,Upland,1.9383061969077493
8,S613,10.921999999999999,11.684,21.6408,S613,Lagg,1.753550075302251
9,S622,2.7939999999999996,6.604,28.0416,S622,Lagg,1.668870186233065
10,S623,3.556000000000001,16.256,8.5344,S623,Bog,0.875958497676137
11,S632,2.031999999999999,8.636,35.3568,S632,Upland,1.5713600109412742
