stakes,northing,easting,zones,aspect,slope,watershed,MaxDate_mod,firstSnow_mod,lastSnow_mod,accumulate_mod,melt_mod,MaxDate_meas,firstSnow_meas,lastSnow_meas,accumulate_meas,melt_meas
S200,464819.0,5262240.0,Upland,193.3626,6.632267,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S201,464819.0,5262292.0,Upland,115.0966,3.120716,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S202,464819.0,5262344.0,Upland,352.4059,2.16637,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-30 00:00:00,2024-02-15 00:00:00,77 days,335 days
S203,464819.0,5262396.0,Upland,135.0012,7.45287,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-31,2022-12-02 00:00:00,2024-02-15 00:00:00,119 days,321 days
S204,464819.0,5262448.0,Upland,254.4066,9.503919,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-30 00:00:00,2024-02-15 00:00:00,77 days,335 days
S205,464819.0,5262500.0,Upland,355.2919,3.051387,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S211,464744.8,5262292.0,Lagg,332.3497,0.84887,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-31,2022-12-02 00:00:00,2024-02-15 00:00:00,119 days,321 days
S212,464744.8,5262344.0,Lagg,291.1621,2.37949,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S213,464744.8,5262396.0,Bog,120.0787,0.78623,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S215,464744.8,5262500.0,Upland,201.5048,1.26977,S2,2023-04-06,2022-10-14 00:00:00,2023-04-25 00:00:00,174 days,19 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S220,464670.6,5262240.0,Upland,252.4753,2.85169,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S221,464670.6,5262292.0,Bog,200.2377,0.72501,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S222,464670.6,5262344.0,Bog,279.4718,0.43563,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S223,464670.6,5262396.0,Bog,174.7998,0.39548,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S224,464670.6,5262448.0,Lagg,187.7631,3.17706,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-31,2022-12-02 00:00:00,2024-02-15 00:00:00,119 days,321 days
S225,464670.6,5262500.0,Lagg,58.388,1.09319,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S226,464670.6,5262552.0,Upland,275.0663,2.38778,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S232,464596.4,5262344.0,Lagg,25.94226,14.422,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S233,464596.4,5262396.0,Bog,113.9634,0.70519,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S234,464596.4,5262448.0,Bog,180.0,0.28632,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S235,464596.4,5262500.0,Lagg,105.2713,0.40827,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S236,464596.4,5262552.0,Upland,4.635716,1.32895,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S243,464522.2,5262396.0,Upland,50.67678,8.63669,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S244,464522.2,5262448.0,Upland,355.6789,8.02736,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S245,464522.2,5262500.0,Upland,21.695,3.57951,S2,2023-04-06,2022-10-14 00:00:00,2023-04-25 00:00:00,174 days,19 days,2023-03-31,2022-12-02 00:00:00,2024-02-15 00:00:00,119 days,321 days
S246,464522.2,5262552.0,Upland,308.4806,5.336709,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S254,464448.0,5262448.0,Upland,225.0,0.96229,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S255,464448.0,5262500.0,Upland,0.008743,1.43197,S2,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S603,464335.0,5262867.0,Upland,100.015,0.618323,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-30 00:00:00,2024-02-15 00:00:00,84 days,328 days
S611,464396.8,5263285.0,Lagg,84.30152,0.71976,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-02-10,2022-12-30 00:00:00,2024-02-15 00:00:00,42 days,370 days
S612,464396.8,5263076.0,Bog,161.5534,0.339843,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S613,464396.8,5262867.0,Lagg,37.4997,19.39961,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S614,464396.8,5262658.0,Upland,84.29677,1.439196,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-30 00:00:00,2024-02-15 00:00:00,77 days,335 days
S621,464458.6,5263285.0,Upland,210.6501,6.712477,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-30 00:00:00,2024-02-15 00:00:00,84 days,328 days
S622,464458.6,5263076.0,Lagg,215.5392,4.916601,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-31,2022-12-30 00:00:00,2024-02-15 00:00:00,91 days,321 days
S623,464458.6,5262867.0,Bog,348.6811,0.547875,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S624,464458.6,5262658.0,Lagg,51.39898,25.4478,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S625,464458.6,5262449.0,Upland,149.6178,1.203789,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-31,2022-12-02 00:00:00,2024-02-15 00:00:00,119 days,321 days
S631,464520.4,5263285.0,Upland,264.7998,1.186282,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-30 00:00:00,2024-02-15 00:00:00,84 days,328 days
S632,464520.4,5263076.0,Upland,250.6175,4.093031,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-30 00:00:00,2024-02-15 00:00:00,84 days,328 days
S633,464520.4,5262867.0,Lagg,214.6792,16.22974,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-30 00:00:00,2024-02-15 00:00:00,84 days,328 days
S634,464520.4,5262658.0,Bog,81.84194,0.253367,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-24,2022-12-02 00:00:00,2024-02-15 00:00:00,112 days,328 days
S635,464520.4,5262449.0,Lagg,23.90763,21.69698,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-03-17,2022-12-02 00:00:00,2024-02-15 00:00:00,105 days,335 days
S636,464520.4,5262240.0,Upland,284.0857,9.7621,S6,2023-04-06,2022-10-14 00:00:00,2023-04-26 00:00:00,174 days,20 days,2023-02-01,2022-12-30 00:00:00,2024-02-15 00:00:00,33 days,379 days
