,Site,Depth,BeginDate,BeginDOY,BeginAmt,EndDate,EndDOY,EndAmt,Length,Drawdown
0,S603,15cm,2023-07-26 07:00:00,207,33.3,2023-09-23 00:00:00,266,13.3,58,19.999999999999996
1,S603,30cm,2023-07-26 08:00:00,207,36.4,2023-09-23 00:00:00,266,19.0,58,17.4
2,S603,45cm,2023-05-07 21:00:00,127,36.4,2023-09-23 01:00:00,266,13.3,138,23.099999999999998
3,S613,15cm,2023-05-20 01:00:00,140,24.5,2023-09-23 00:00:00,266,10.0,125,14.5
4,S613,30cm,2023-04-18 13:00:00,108,36.3,2023-09-24 01:00:00,267,9.7,158,26.599999999999998
5,S613,45cm,2023-06-01 20:00:00,152,35.9,2023-09-25 00:00:00,268,23.6,115,12.299999999999997
6,S622,15cm,2023-06-15 11:00:00,166,22.0,2023-09-06 00:00:00,249,10.7,82,11.3
7,S622,30cm,2023-06-15 11:00:00,166,24.1,2023-09-23 23:00:00,266,14.8,100,9.3
8,S622,45cm,2023-06-15 11:00:00,166,29.1,2023-09-24 00:00:00,267,16.7,100,12.400000000000002
9,S632,15cm,2023-07-26 07:00:00,207,22.8,2023-09-06 00:00:00,249,11.3,41,11.5
10,S632,30cm,2023-04-19 08:00:00,109,42.9,2023-09-06 00:00:00,249,11.2,139,31.7
11,S632,45cm,2023-04-19 06:00:00,109,42.2,2023-09-06 00:00:00,249,9.0,139,33.2
12,S205,15cm,2023-05-25 09:00:00,145,36.2,2023-09-06 00:00:00,249,10.9,103,25.300000000000004
13,S205,30cm,2023-05-14 23:00:00,134,21.8,2023-09-21 15:00:00,264,10.8,129,11.0
14,S205,45cm,2023-04-16 15:00:00,106,31.7,2023-09-24 10:00:00,267,12.8,160,18.9
15,S215,15cm,2023-05-14 08:00:00,134,26.0,2023-09-21 16:00:00,264,6.0,130,20.0
16,S215,30cm,2023-05-05 10:00:00,125,41.4,2023-09-21 16:00:00,264,10.3,139,31.099999999999998
17,S215,45cm,2023-05-14 06:00:00,134,34.7,2023-09-12 06:00:00,255,13.4,121,21.300000000000004
18,S244,15cm,2023-07-05 07:00:00,186,43.9,2023-09-06 00:00:00,249,20.7,62,23.2
19,S244,30cm,2023-05-03 18:00:00,123,45.1,2023-09-06 00:00:00,249,19.4,125,25.700000000000003
20,S244,45cm,2023-05-29 23:00:00,149,40.6,2023-09-06 15:00:00,249,31.3,99,9.3
21,S254,15cm,2023-07-26 08:00:00,207,21.4,2023-09-22 22:00:00,265,10.4,58,10.999999999999998
22,S254,30cm,2023-04-15 13:00:00,105,43.8,2023-09-23 00:00:00,266,10.7,160,33.099999999999994
23,S254,45cm,2023-05-09 03:00:00,129,42.6,2023-09-24 02:00:00,267,21.8,137,20.8
