Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/2020,24,4,0.03,0.4,15
1/2/2020,28,20,0.1,1.1,16
1/3/2020,22,16,0,0,15
1/4/2020,27,19,0,0,15
1/5/2020,29,17,0,0,14
1/6/2020,36,13,0,0,13
1/7/2020,22,-6,0,0,13
1/8/2020,9,-17,0.03,0.4,14
1/9/2020,22,8,0.09,1.4,15
1/10/2020,14,-15,0,0,15
1/11/2020,12,-22,0,0,15
1/12/2020,16,1,0,0,15
1/13/2020,22,13,0.12,1.4,16
1/14/2020,24,1,0.02,0.4,16
1/15/2020,7,-10,0.2,3.1,18
1/16/2020,3,-20,0,0,18
1/17/2020,18,-12,0.31,4.3,21
1/18/2020,20,1,0.3,4.1,24
1/19/2020,14,2,0.04,0.6,24
1/20/2020,22,-6,0,0,23
1/21/2020,18,-1,0,0,23
1/22/2020,32,13,0,0,21
1/23/2020,26,22,0,0,21
1/24/2020,27,20,0.05,0.8,21
1/25/2020,29,21,0,0,20
1/26/2020,24,20,0,0,20
1/27/2020,20,12,0.01,0,19
1/28/2020,20,11,T,T,19
1/29/2020,25,14,0,0,19
1/30/2020,20,14,0,0,19
1/31/2020,28,18,0,0,19
2/1/2020,34,19,0,0,18
2/2/2020,36,26,0,0,16
2/3/2020,26,1,0,0,16
2/4/2020,17,-7,0,0,16
2/5/2020,33,-7,0,0,15
2/6/2020,29,3,0,0,15
2/7/2020,17,-9,0,0,15
2/8/2020,17,-17,0,0,15
2/9/2020,23,-3,0,0,15
2/10/2020,28,-3,0,0,15
2/11/2020,31,14,0,0,15
2/12/2020,22,-18,0.05,0.8,16
2/13/2020,2,-26,0,0,16
2/14/2020,21,-20,0,0,16
2/15/2020,30,3,0,0,16
2/16/2020,19,-11,0,0,16
2/17/2020,25,6,0.28,4.2,20
2/18/2020,16,-9,0,0,20
2/19/2020,12,-16,0,0,20
2/20/2020,22,-23,0,0,20
2/21/2020,42,4,0,0,19
2/22/2020,54,9,0,0,17
2/23/2020,42,16,0,0,16
2/24/2020,44,12,0,0,16
2/25/2020,37,12,0,0,16
2/26/2020,25,4,0,0,16
2/27/2020,24,1,0,0,16
2/28/2020,28,-12,0,0,16
2/29/2020,39,1,0,0,16
3/1/2020,46,18,0,0,15
3/2/2020,38,22,0,0,15
3/3/2020,38,18,0,0,15
3/4/2020,39,9,0,0,15
3/5/2020,33,18,0.11,1.8,16
3/6/2020,41,3,0,0,15
3/7/2020,53,25,0,0,13
3/8/2020,56,34,0,0,12
3/9/2020,39,20,0,0,12
3/10/2020,39,15,0,0,11
3/11/2020,37,22,0,0,10
3/12/2020,39,25,0.06,0.2,10
3/13/2020,28,13,0,0,10
3/14/2020,32,10,0,0,10
3/15/2020,36,10,0.07,0.8,11
3/16/2020,35,15,0.12,1.3,12
3/17/2020,42,14,0,0,11
3/18/2020,34,25,0.01,T,11
3/19/2020,36,20,0.23,2,13
3/20/2020,33,5,0,0,12
3/21/2020,37,-4,0,0,12
3/22/2020,32,23,0.1,0.8,12
3/23/2020,47,25,0,0,10
3/24/2020,49,24,0,0,9
3/25/2020,38,26,T,T,9
3/26/2020,49,23,0,0,7
3/27/2020,54,21,T,0,4
3/28/2020,49,27,0,0,4
3/29/2020,56,32,0,0,3
3/30/2020,58,23,0,0,3
3/31/2020,57,24,0,0,3
4/1/2020,53,26,0.04,0,3
4/2/2020,58,32,0.5,0,0
4/3/2020,41,17,0.23,0,0
4/4/2020,44,11,0,0,0
4/5/2020,57,23,0,0,0
4/6/2020,60,36,0,0,0
4/7/2020,62,36,0.02,0,0
4/8/2020,52,27,0,0,0
4/9/2020,37,26,0.06,1.2,0
4/10/2020,49,20,0,0,0
4/11/2020,49,25,0,0,0
4/12/2020,34,22,0,0,0
4/13/2020,31,15,0,0,0
4/14/2020,30,12,0,0,0
4/15/2020,35,11,0,0,0
4/16/2020,43,18,0,0,0
4/17/2020,49,18,0,0,0
4/18/2020,56,35,0.02,0,0
4/19/2020,44,23,0,0,0
4/20/2020,45,27,0.06,0.1,0
4/21/2020,43,19,0,0,0
4/22/2020,57,29,0,0,0
4/23/2020,63,27,0,0,0
4/24/2020,69,30,0,0,0
4/25/2020,68,31,0,0,0
4/26/2020,66,37,0,0,0
4/27/2020,70,39,0.15,0,0
4/28/2020,56,37,0,0,0
4/29/2020,66,34,0,0,0
4/30/2020,69,29,0,0,0
5/1/2020,65,46,0.2,0,0
5/2/2020,65,42,0,0,0
5/3/2020,49,30,0,0,0
5/4/2020,56,28,0,0,0
5/5/2020,62,32,0,0,0
5/6/2020,64,36,0,0,0
5/7/2020,53,31,0,0,0
5/8/2020,48,25,0,0,0
5/9/2020,45,24,0,0,0
5/10/2020,49,32,0,0,0
5/11/2020,51,25,0,0,0
5/12/2020,57,24,0,0,0
5/13/2020,53,30,0.06,0,0
5/14/2020,74,45,0.06,0,0
5/15/2020,68,45,0,0,0
