#,Date-Time (CST/CDT),Ch:1 - S34-15cmTemp   (°C),Host Connected,End of File
1,10/22/2022 09:42:09,6.90,,
2,10/22/2022 10:42:09,7.72,,
3,10/22/2022 11:42:09,7.59,,
4,10/22/2022 12:42:09,7.55,,
5,10/22/2022 13:42:09,7.50,,
6,10/22/2022 14:42:09,7.55,,
7,10/22/2022 15:42:09,7.50,,
8,10/22/2022 16:42:09,7.50,,
9,10/22/2022 17:42:09,7.55,,
10,10/22/2022 18:42:09,7.63,,
11,10/22/2022 19:42:09,7.59,,
12,10/22/2022 20:42:09,7.63,,
13,10/22/2022 21:42:09,7.68,,
14,10/22/2022 22:42:09,7.68,,
15,10/22/2022 23:42:09,7.72,,
16,10/23/2022 00:42:09,7.72,,
17,10/23/2022 01:42:09,7.76,,
18,10/23/2022 02:42:09,7.72,,
19,10/23/2022 03:42:09,7.72,,
20,10/23/2022 04:42:09,7.72,,
21,10/23/2022 05:42:09,7.72,,
22,10/23/2022 06:42:09,7.72,,
23,10/23/2022 07:42:09,7.68,,
24,10/23/2022 08:42:09,7.68,,
25,10/23/2022 09:42:09,7.68,,
26,10/23/2022 10:42:09,7.68,,
27,10/23/2022 11:42:09,7.68,,
28,10/23/2022 12:42:09,7.68,,
29,10/23/2022 13:42:09,7.68,,
30,10/23/2022 14:42:09,7.68,,
31,10/23/2022 15:42:09,7.68,,
32,10/23/2022 16:42:09,7.72,,
33,10/23/2022 17:42:09,7.72,,
34,10/23/2022 18:42:09,7.81,,
35,10/23/2022 19:42:09,7.85,,
36,10/23/2022 20:42:09,7.85,,
37,10/23/2022 21:42:09,7.89,,
38,10/23/2022 22:42:09,7.93,,
39,10/23/2022 23:42:09,7.98,,
40,10/24/2022 00:42:09,8.02,,
41,10/24/2022 01:42:09,8.02,,
42,10/24/2022 02:42:09,8.06,,
43,10/24/2022 03:42:09,8.15,,
44,10/24/2022 04:42:09,8.19,,
45,10/24/2022 05:42:09,8.19,,
46,10/24/2022 06:42:09,8.23,,
47,10/24/2022 07:42:09,8.28,,
48,10/24/2022 08:42:09,8.32,,
49,10/24/2022 09:42:09,8.36,,
50,10/24/2022 10:42:09,8.41,,
51,10/24/2022 11:42:09,8.41,,
52,10/24/2022 12:42:09,8.45,,
53,10/24/2022 13:42:09,8.45,,
54,10/24/2022 14:42:09,8.49,,
55,10/24/2022 15:42:09,8.53,,
