#,Date-Time (CST/CDT),Ch: 1 - S623-30cmTemp   (°C),Host Connected,End of File
1,10/22/2022 11:01:29,12.78,,
2,10/22/2022 11:01:52,,Logged,
3,10/22/2022 12:01:29,7.29,,
4,10/22/2022 13:01:29,7.20,,
5,10/22/2022 14:01:29,7.20,,
6,10/22/2022 15:01:29,7.16,,
7,10/22/2022 16:01:29,7.16,,
8,10/22/2022 17:01:29,7.20,,
9,10/22/2022 18:01:29,7.16,,
10,10/22/2022 19:01:29,7.16,,
11,10/22/2022 20:01:29,7.25,,
12,10/22/2022 21:01:29,7.25,,
13,10/22/2022 22:01:29,7.25,,
14,10/22/2022 23:01:29,7.29,,
15,10/23/2022 00:01:29,7.25,,
16,10/23/2022 01:01:29,7.25,,
17,10/23/2022 02:01:29,7.25,,
18,10/23/2022 03:01:29,7.29,,
19,10/23/2022 04:01:29,7.33,,
20,10/23/2022 05:01:29,7.33,,
21,10/23/2022 06:01:29,7.33,,
22,10/23/2022 07:01:29,7.33,,
23,10/23/2022 08:01:29,7.38,,
24,10/23/2022 09:01:29,7.38,,
25,10/23/2022 10:01:29,7.38,,
26,10/23/2022 11:01:29,7.33,,
27,10/23/2022 12:01:29,7.38,,
28,10/23/2022 13:01:29,7.38,,
29,10/23/2022 14:01:29,7.42,,
30,10/23/2022 15:01:29,7.42,,
31,10/23/2022 16:01:29,7.42,,
32,10/23/2022 17:01:29,7.42,,
33,10/23/2022 18:01:29,7.42,,
34,10/23/2022 19:01:29,7.42,,
35,10/23/2022 20:01:29,7.46,,
36,10/23/2022 21:01:29,7.50,,
37,10/23/2022 22:01:29,7.55,,
38,10/23/2022 23:01:29,7.59,,
39,10/24/2022 00:01:29,7.55,,
40,10/24/2022 01:01:29,7.59,,
41,10/24/2022 02:01:29,7.63,,
42,10/24/2022 03:01:29,7.63,,
43,10/24/2022 04:01:29,7.68,,
44,10/24/2022 05:01:29,7.72,,
45,10/24/2022 06:01:29,7.76,,
46,10/24/2022 07:01:29,7.76,,
47,10/24/2022 08:01:29,7.85,,
48,10/24/2022 09:01:29,7.85,,
49,10/24/2022 10:01:29,7.85,,
50,10/24/2022 11:01:29,7.93,,
51,10/24/2022 12:01:29,7.93,,
52,10/24/2022 13:01:29,7.98,,
53,10/24/2022 14:01:29,7.98,,
54,10/24/2022 15:01:29,8.02,,
55,10/24/2022 16:01:29,8.06,,
56,10/24/2022 17:01:29,8.15,,
57,10/24/2022 18:01:29,8.15,,
58,10/24/2022 19:01:29,8.15,,
59,10/24/2022 20:01:29,8.19,,
60,10/24/2022 21:01:29,8.23,,
61,10/24/2022 22:01:29,8.23,,
62,10/24/2022 23:01:29,8.28,,
63,10/25/2022 00:01:29,8.32,,
64,10/25/2022 01:01:29,8.28,,
65,10/25/2022 02:01:29,8.36,,
66,10/25/2022 03:01:29,8.36,,
67,10/25/2022 04:01:29,8.32,,
68,10/25/2022 05:01:29,8.36,,
69,10/25/2022 06:01:29,8.36,,
70,10/25/2022 07:01:29,8.41,,
71,10/25/2022 08:01:29,8.36,,
72,10/25/2022 09:01:29,8.41,,
73,10/25/2022 10:01:29,8.32,,
74,10/25/2022 11:01:29,8.36,,
75,10/25/2022 12:01:29,8.36,,
76,10/25/2022 13:01:29,8.32,,
77,10/25/2022 14:01:29,8.32,,
78,10/25/2022 15:01:29,8.32,,
79,10/25/2022 16:01:29,8.32,,
80,10/25/2022 17:01:29,8.32,,
81,10/25/2022 18:01:29,8.28,,
82,10/25/2022 19:01:29,8.32,,
83,10/25/2022 20:01:29,8.32,,
84,10/25/2022 21:01:29,8.28,,
85,10/25/2022 22:01:29,8.28,,
86,10/25/2022 23:01:29,8.23,,
