#,Date-Time (CST/CDT),Ch:1 - S623-30cmTemp   (°C),Host Connected,End of File
1,10/22/2022 11:01,12.78,,
3,10/22/2022 12:01,7.29,,
4,10/22/2022 13:01,7.2,,
5,10/22/2022 14:01,7.2,,
6,10/22/2022 15:01,7.16,,
7,10/22/2022 16:01,7.16,,
8,10/22/2022 17:01,7.2,,
9,10/22/2022 18:01,7.16,,
10,10/22/2022 19:01,7.16,,
11,10/22/2022 20:01,7.25,,
12,10/22/2022 21:01,7.25,,
13,10/22/2022 22:01,7.25,,
14,10/22/2022 23:01,7.29,,
15,10/23/2022 0:01,7.25,,
16,10/23/2022 1:01,7.25,,
17,10/23/2022 2:01,7.25,,
18,10/23/2022 3:01,7.29,,
19,10/23/2022 4:01,7.33,,
20,10/23/2022 5:01,7.33,,
21,10/23/2022 6:01,7.33,,
22,10/23/2022 7:01,7.33,,
23,10/23/2022 8:01,7.38,,
24,10/23/2022 9:01,7.38,,
25,10/23/2022 10:01,7.38,,
26,10/23/2022 11:01,7.33,,
27,10/23/2022 12:01,7.38,,
28,10/23/2022 13:01,7.38,,
29,10/23/2022 14:01,7.42,,
30,10/23/2022 15:01,7.42,,
31,10/23/2022 16:01,7.42,,
32,10/23/2022 17:01,7.42,,
33,10/23/2022 18:01,7.42,,
34,10/23/2022 19:01,7.42,,
35,10/23/2022 20:01,7.46,,
36,10/23/2022 21:01,7.5,,
37,10/23/2022 22:01,7.55,,
38,10/23/2022 23:01,7.59,,
39,10/24/2022 0:01,7.55,,
40,10/24/2022 1:01,7.59,,
41,10/24/2022 2:01,7.63,,
42,10/24/2022 3:01,7.63,,
43,10/24/2022 4:01,7.68,,
44,10/24/2022 5:01,7.72,,
45,10/24/2022 6:01,7.76,,
46,10/24/2022 7:01,7.76,,
47,10/24/2022 8:01,7.85,,
48,10/24/2022 9:01,7.85,,
49,10/24/2022 10:01,7.85,,
50,10/24/2022 11:01,7.93,,
51,10/24/2022 12:01,7.93,,
52,10/24/2022 13:01,7.98,,
