User Field 1                  ;User Field 2                  ;User Field 3                  ;% Sky Area    ;% Mask Area   ;% Cnpy Open   ;% Site Open   ;LAI 4Ring     ;LAI 5Ring     ;Units         ;RB            ;RD            ;Extra         ;Abv Dir       ;Abv Dif       ;Abv Tot       ;Abv Dir Msk   ;Abv Dif Msk   ;Abv Tot Msk   ;Trans Dir     ;Trans Dif     ;Trans Tot     ;% Trans Dir   ;% Trans Dif   ;% Trans Tot   ;Date          ;Time          ;
S603 (1)                      ;North                         ;Upland                        ;99.89         ;0.11          ;14.92         ;14.92         ;2.75          ;2.12          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;09:17:28 AM   ;
S603 (2)                      ;East                          ;Upland                        ;99.88         ;0.12          ;14.32         ;14.32         ;2.83          ;2.13          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;09:22:00 AM   ;
S603 (3)                      ;South                         ;Upland                        ;99.88         ;0.12          ;14.43         ;14.43         ;2.76          ;2.13          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;12:43:52 PM   ;
S603 (4)                      ;West                          ;Upland                        ;99.88         ;0.12          ;14.78         ;14.78         ;2.82          ;2.09          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;01:48:13 PM   ;
S611 (1)                      ;North                         ;Lagg                          ;99.9          ;0.1           ;15.38         ;15.38         ;1.91          ;1.91          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;01:54:01 PM   ;
S611 (2)                      ;East                          ;Lagg                          ;99.9          ;0.1           ;14.64         ;14.64         ;2             ;1.94          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;01:57:51 PM   ;
S611 (3)                      ;South                         ;Lagg                          ;99.9          ;0.1           ;14.53         ;14.53         ;2.02          ;1.96          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:06:44 PM   ;
S611 (4)                      ;West                          ;Lagg                          ;99.9          ;0.1           ;15.26         ;15.26         ;1.95          ;1.89          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:09:43 PM   ;
S612 (1)                      ;North                         ;Bog                           ;99.9          ;0.1           ;15            ;15            ;2.08          ;2.03          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:13:10 PM   ;
S612 (2)                      ;East                          ;Bog                           ;99.9          ;0.1           ;16.9          ;16.9          ;1.87          ;1.89          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:16:31 PM   ;
S612 (3)                      ;South                         ;Bog                           ;99.9          ;0.1           ;14.89         ;14.89         ;2.12          ;2.04          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:22:25 PM   ;
S612 (4)                      ;West                          ;Bog                           ;99.9          ;0.1           ;10.62         ;10.62         ;2.57          ;2.51          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:27:37 PM   ;
S613 (1)                      ;North                         ;Lagg                          ;99.9          ;0.1           ;14.9          ;14.9          ;2.11          ;2.02          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:32:42 PM   ;
S613 (2)                      ;East                          ;Lagg                          ;99.9          ;0.1           ;15.06         ;15.06         ;2.11          ;2.01          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:36:13 PM   ;
S613 (3)                      ;South                         ;Lagg                          ;99.9          ;0.1           ;14.77         ;14.77         ;2.17          ;2.05          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;02:39:38 PM   ;
S613 (4)                      ;West                          ;Lagg                          ;99.9          ;0.1           ;14.54         ;14.54         ;2.16          ;2.06          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:26:34 PM   ;
S614 (1)                      ;North                         ;Upland                        ;99.9          ;0.1           ;16.18         ;16.18         ;2.26          ;1.96          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:31:50 PM   ;
S614 (2)                      ;East                          ;Upland                        ;99.9          ;0.1           ;17.31         ;17.31         ;2.16          ;1.88          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:35:29 PM   ;
S614 (3)                      ;South                         ;Upland                        ;99.9          ;0.1           ;15.78         ;15.78         ;2.33          ;1.98          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:39:04 PM   ;
S614 (4)                      ;West                          ;Upland                        ;99.9          ;0.1           ;16.83         ;16.83         ;2.21          ;1.9           ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:49:03 PM   ;
S621 (1)                      ;North                         ;Upland                        ;99.9          ;0.1           ;11.39         ;11.39         ;2.4           ;2.44          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;03:54:54 PM   ;
S621 (2)                      ;East                          ;Upland                        ;99.9          ;0.1           ;12.52         ;12.52         ;2.23          ;2.18          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:00:07 PM   ;
S621 (3)                      ;South                         ;Upland                        ;99.89         ;0.11          ;12.31         ;12.31         ;2.3           ;2.21          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:05:36 PM   ;
S621 (4)                      ;West                          ;Upland                        ;99.89         ;0.11          ;13.3          ;13.3          ;2.22          ;2.12          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:08:08 PM   ;
S622 (1)                      ;North                         ;Lagg                          ;99.9          ;0.1           ;17.01         ;17.01         ;1.98          ;1.87          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:12:21 PM   ;
S622 (2)                      ;East                          ;Lagg                          ;99.89         ;0.11          ;16.08         ;16.08         ;2.13          ;1.93          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:15:13 PM   ;
S622 (3)                      ;South                         ;Lagg                          ;99.89         ;0.11          ;15.53         ;15.53         ;2.19          ;1.97          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:17:54 PM   ;
S622 (4)                      ;West                          ;Lagg                          ;99.9          ;0.1           ;13.89         ;13.89         ;2.29          ;2.11          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:21:32 PM   ;
S623 (1)                      ;North                         ;Bog                           ;99.89         ;0.11          ;36.53         ;36.53         ;0.84          ;0.83          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:25:34 PM   ;
S623 (2)                      ;East                          ;Bog                           ;99.89         ;0.11          ;32.65         ;32.65         ;1.03          ;0.95          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:28:58 PM   ;
S623 (3)                      ;South                         ;Bog                           ;99.89         ;0.11          ;35.52         ;35.52         ;0.89          ;0.87          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:32:18 PM   ;
S623 (4)                      ;West                          ;Bog                           ;99.89         ;0.11          ;34.1          ;34.1          ;0.94          ;0.9           ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:36:39 PM   ;
S624 (1)                      ;North                         ;Lagg                          ;99.89         ;0.11          ;12.05         ;12.05         ;2.53          ;2.26          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:39:32 PM   ;
S624 (2)                      ;East                          ;Lagg                          ;99.89         ;0.11          ;13.81         ;13.81         ;2.38          ;2.11          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:44:51 PM   ;
S624 (3)                      ;South                         ;Lagg                          ;99.89         ;0.11          ;12.22         ;12.22         ;2.64          ;2.31          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:47:58 PM   ;
S624 (4)                      ;West                          ;Lagg                          ;99.88         ;0.12          ;12.89         ;12.89         ;2.4           ;2.16          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;04:51:17 PM   ;
S625 (1)                      ;North                         ;Upland                        ;99.88         ;0.12          ;30.05         ;30.05         ;1.19          ;1.14          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:18:47 PM   ;
S625 (2)                      ;East                          ;Upland                        ;99.88         ;0.12          ;29.66         ;29.66         ;1.18          ;1.16          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:25:02 PM   ;
S625 (3)                      ;South                         ;Upland                        ;99.88         ;0.12          ;29.33         ;29.33         ;1.25          ;1.18          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:27:45 PM   ;
S625 (4)                      ;West                          ;Upland                        ;99.88         ;0.12          ;30.01         ;30.01         ;1.22          ;1.15          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:30:15 PM   ;
S631 (1)                      ;North                         ;Upland                        ;99.88         ;0.12          ;17.25         ;17.25         ;1.73          ;1.92          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:36:06 PM   ;
S631 (2)                      ;East                          ;Upland                        ;99.88         ;0.12          ;17.99         ;17.99         ;1.72          ;1.81          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:40:04 PM   ;
S631 (3)                      ;South                         ;Upland                        ;99.88         ;0.12          ;17.99         ;17.99         ;1.72          ;1.81          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Sep 30 2022   ;08:43:49 PM   ;
