User Field 1                  ;User Field 2                  ;User Field 3                  ;% Sky Area    ;% Mask Area   ;% Cnpy Open   ;% Site Open   ;LAI 4Ring     ;LAI 5Ring     ;Units         ;RB            ;RD            ;Extra         ;Abv Dir       ;Abv Dif       ;Abv Tot       ;Abv Dir Msk   ;Abv Dif Msk   ;Abv Tot Msk   ;Trans Dir     ;Trans Dif     ;Trans Tot     ;% Trans Dir   ;% Trans Dif   ;% Trans Tot   ;Date          ;Time          ;
S601 (1)                      ;North                         ;Upland                        ;99.91         ;0.09          ;6.73          ;6.73          ;3.08          ;2.9           ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 14 2023   ;10:47:52 PM   ;
S601 (2)                      ;East                          ;Upland                        ;99.91         ;0.09          ;6.73          ;6.73          ;3.14          ;2.88          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 14 2023   ;10:56:27 PM   ;
S601 (3)                      ;South                         ;Upland                        ;99.91         ;0.09          ;6.83          ;6.83          ;3.07          ;2.89          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 14 2023   ;11:00:00 PM   ;
S601 (4)                      ;West                          ;Upland                        ;99.91         ;0.09          ;6.62          ;6.62          ;3.2           ;2.89          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 14 2023   ;11:03:18 PM   ;
S602 (1)                      ;North                         ;Upland                        ;99.89         ;0.11          ;8.8           ;8.8           ;3.11          ;3.08          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;10:13:29 AM   ;
S602 (2)                      ;East                          ;Upland                        ;99.89         ;0.11          ;8.65          ;8.65          ;3.19          ;3.15          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;10:26:32 AM   ;
S602 (3)                      ;South                         ;Upland                        ;99.9          ;0.1           ;8.66          ;8.66          ;2.92          ;3.06          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;10:44:05 AM   ;
S602 (4)                      ;West                          ;Upland                        ;99.89         ;0.11          ;8.67          ;8.67          ;3.03          ;3.1           ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;10:50:40 AM   ;
S603 (1)                      ;North                         ;Upland                        ;99.9          ;0.1           ;10.43         ;10.43         ;2.69          ;2.33          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;11:03:13 AM   ;
S603 (2)                      ;East                          ;Upland                        ;99.9          ;0.1           ;10.39         ;10.39         ;2.72          ;2.29          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;11:13:48 AM   ;
S603 (3)                      ;South                         ;Upland                        ;99.9          ;0.1           ;9.9           ;9.9           ;2.9           ;2.39          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;11:59:29 AM   ;
S603 (4)                      ;West                          ;Upland                        ;99.9          ;0.1           ;9.72          ;9.72          ;2.98          ;2.43          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;12:05:50 PM   ;
S612 (1)                      ;North                         ;Bog                           ;99.9          ;0.1           ;18.42         ;18.42         ;1.73          ;2.04          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;01:13:00 PM   ;
S612 (2)                      ;East                          ;Bog                           ;99.9          ;0.1           ;18.5          ;18.5          ;1.81          ;1.99          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;01:17:23 PM   ;
S612 (3)                      ;South                         ;Bog                           ;99.9          ;0.1           ;16.97         ;16.97         ;1.88          ;2.13          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;01:47:23 PM   ;
S612 (4)                      ;West                          ;Bog                           ;99.9          ;0.1           ;16.86         ;16.86         ;1.87          ;2.23          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 15 2023   ;04:03:25 PM   ;
S613 (1)                      ;North                         ;Lagg                          ;99.89         ;0.11          ;15.28         ;15.28         ;2.33          ;2.17          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;02:37:12 PM   ;
S613 (2)                      ;East                          ;Lagg                          ;99.9          ;0.1           ;15.2          ;15.2          ;2.21          ;2.17          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;02:45:04 PM   ;
S613 (3)                      ;South                         ;Lagg                          ;99.9          ;0.1           ;15.27         ;15.27         ;2.32          ;2.21          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;02:50:22 PM   ;
S613 (4)                      ;West                          ;Lagg                          ;99.9          ;0.1           ;14.93         ;14.93         ;2.46          ;2.17          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;02:55:27 PM   ;
S614 (1)                      ;North                         ;Upland                        ;99.9          ;0.1           ;12.81         ;12.81         ;2.52          ;2.13          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;03:04:44 PM   ;
S614 (2)                      ;East                          ;Upland                        ;99.89         ;0.11          ;13.56         ;13.56         ;2.47          ;2.09          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;03:11:16 PM   ;
S614 (3)                      ;South                         ;Upland                        ;99.89         ;0.11          ;13.9          ;13.9          ;2.57          ;2.08          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;03:19:43 PM   ;
S614 (4)                      ;West                          ;Upland                        ;99.89         ;0.11          ;13.76         ;13.76         ;2.31          ;2.04          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 16 2023   ;03:26:33 PM   ;
S623 (1)                      ;North                         ;Bog                           ;99.89         ;0.11          ;23.59         ;23.59         ;1.25          ;1.43          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 18 2023   ;10:45:43 PM   ;
S623 (2)                      ;East                          ;Bog                           ;99.89         ;0.11          ;24.61         ;24.61         ;1.39          ;1.38          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 18 2023   ;10:51:07 PM   ;
S623 (3)                      ;South                         ;Bog                           ;99.89         ;0.11          ;28.33         ;28.33         ;1.1           ;1.23          ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;              ;Mar 18 2023   ;10:57:44 PM   ;
