User Field 1                  ;User Field 2                  ;User Field 3                  ;% Sky Area    ;% Mask Area   ;% Cnpy Open   ;% Site Open   ;LAI 4Ring     ;LAI 5Ring     ;Units         ;RB            ;RD            ;Extra         ;Abv Dir       ;Abv Dif       ;Abv Tot       ;Abv Dir Msk   ;Abv Dif Msk   ;Abv Tot Msk   ;Trans Dir     ;Trans Dif     ;Trans Tot     ;% Trans Dir   ;% Trans Dif   ;% Trans Tot   ;Date          ;Time          ;
S05 (1)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;51.25         ;51.22         ;0.64          ;0.6           ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;7.74          ;9.14          ;16.88         ;52.88         ;62.43         ;57.66         ;Apr 07 2023   ;10:44:24 AM   ;
S05 (2)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;50.43         ;50.41         ;0.66          ;0.61          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;7.71          ;9.07          ;16.78         ;52.65         ;61.95         ;57.3          ;Apr 07 2023   ;10:50:44 AM   ;
S05 (3)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;54.11         ;54.09         ;0.59          ;0.53          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;8.08          ;9.57          ;17.65         ;55.21         ;65.37         ;60.29         ;Apr 07 2023   ;10:59:03 AM   ;
S05 (4)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;48.97         ;48.94         ;0.68          ;0.63          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;7.48          ;8.91          ;16.39         ;51.11         ;60.86         ;55.98         ;Apr 07 2023   ;11:05:39 AM   ;
S24 (1)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;41.42         ;41.41         ;0.95          ;0.85          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;8.22          ;7.14          ;15.36         ;56.16         ;48.78         ;52.47         ;Apr 07 2023   ;11:13:20 AM   ;
S24 (2)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;42.54         ;42.51         ;0.89          ;0.82          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;8.07          ;7.34          ;15.42         ;55.12         ;50.16         ;52.64         ;Apr 07 2023   ;11:18:05 AM   ;
S24 (3)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;42.67         ;42.64         ;0.88          ;0.82          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;8.28          ;7.4           ;15.68         ;56.55         ;50.52         ;53.54         ;Apr 07 2023   ;11:22:46 AM   ;
S24 (4)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;41.12         ;41.1          ;0.93          ;0.86          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;7.71          ;7.08          ;14.79         ;52.63         ;48.38         ;50.5          ;Apr 07 2023   ;11:26:56 AM   ;
S25 (1)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;61.07         ;61.05         ;0.42          ;0.43          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;9.89          ;10.16         ;20.05         ;67.57         ;69.39         ;68.48         ;Apr 07 2023   ;11:32:10 AM   ;
S25 (2)                       ;S2                            ;Glare                         ;99.9          ;0.1           ;59.35         ;59.33         ;0.44          ;0.46          ;Mols m-2 d-1  ;1             ;1             ;294.74        ;14.64         ;14.64         ;29.29         ;14.64         ;14.64         ;29.28         ;9.78          ;9.96          ;19.73         ;66.76         ;68.02         ;67.39         ;Apr 07 2023   ;11:36:43 AM   ;
